,ax,t
52858,6.532,33.03625
52859,6.457,33.036875
52860,6.493,33.0375
52861,6.562,33.038125
52862,6.634,33.03875
52863,6.617,33.039375
52864,6.602,33.04
52865,6.604,33.040625
52866,6.675,33.04125
52867,6.724,33.041875
52868,6.754,33.0425
52869,6.761,33.043125
52870,6.848,33.04375
52871,6.948,33.044375
52872,7.045,33.045
52873,7.055,33.045625
52874,7.088,33.04625
52875,7.13,33.046875
52876,7.168,33.0475
52877,7.188,33.048125
52878,7.238,33.04875
52879,7.327,33.049375
52880,7.351,33.05
52881,7.383,33.050625
52882,7.421,33.05125
52883,7.462,33.051875
52884,7.558,33.0525
52885,7.594,33.053125
52886,7.523,33.05375
52887,7.597,33.054375
52888,7.632,33.055
52889,7.655,33.055625
52890,7.757,33.05625
52891,7.794,33.056875
52892,7.816,33.0575
52893,7.846,33.058125
52894,7.867,33.05875
52895,7.888,33.059375
52896,7.902,33.06
52897,7.871,33.060625
52898,7.911,33.06125
52899,7.96,33.061875
52900,7.967,33.0625
52901,7.934,33.063125
52902,7.933,33.06375
52903,7.968,33.064375
52904,7.968,33.065
52905,8.002,33.065625
52906,8.026,33.06625
52907,7.972,33.066875
52908,7.975,33.0675
52909,7.975,33.068125
52910,7.958,33.06875
52911,7.962,33.069375
52912,7.963,33.07
52913,7.975,33.070625
52914,8.033,33.07125
52915,7.988,33.071875
52916,7.973,33.0725
52917,8.048,33.073125
52918,8.056,33.07375
52919,8.045,33.074375
52920,8.032,33.075
52921,8.073,33.075625
52922,8.057,33.07625
52923,8.049,33.076875
52924,8.089,33.0775
52925,8.108,33.078125
52926,8.12,33.07875
52927,8.13,33.079375
52928,8.164,33.08
52929,8.188,33.080625
52930,8.211,33.08125
52931,8.242,33.081875
52932,8.255,33.0825
52933,8.276,33.083125
52934,8.307,33.08375
52935,8.29,33.084375
52936,8.302,33.085
52937,8.32,33.085625
52938,8.31,33.08625
52939,8.325,33.086875
52940,8.37,33.0875
52941,8.446,33.088125
52942,8.419,33.08875
52943,8.417,33.089375
52944,8.432,33.09
52945,8.452,33.090625
52946,8.488,33.09125
52947,8.505,33.091875
52948,8.481,33.0925
52949,8.503,33.093125
52950,8.512,33.09375
52951,8.509,33.094375
52952,8.509,33.095
52953,8.544,33.095625
52954,8.576,33.09625
52955,8.576,33.096875
52956,8.582,33.0975
52957,8.632,33.098125
52958,8.71,33.09875
52959,8.663,33.099375
52960,8.671,33.1
52961,8.687,33.100625
52962,8.657,33.10125
52963,8.661,33.101875
52964,8.687,33.1025
52965,8.727,33.103125
52966,8.683,33.10375
52967,8.73,33.104375
52968,8.805,33.105
52969,8.802,33.105625
52970,8.82,33.10625
52971,8.829,33.106875
52972,8.815,33.1075
52973,8.822,33.108125
52974,8.793,33.10875
52975,8.753,33.109375
52976,8.78,33.11
52977,8.802,33.110625
52978,8.808,33.11125
52979,8.788,33.111875
52980,8.751,33.1125
52981,8.743,33.113125
52982,8.752,33.11375
52983,8.704,33.114375
52984,8.662,33.115
52985,8.642,33.115625
52986,8.669,33.11625
52987,8.69,33.116875
52988,8.669,33.1175
52989,8.602,33.118125
52990,8.503,33.11875
52991,8.507,33.119375
52992,8.538,33.12
52993,8.5,33.120625
52994,8.408,33.12125
52995,8.354,33.121875
52996,8.36,33.1225
52997,8.35,33.123125
52998,8.325,33.12375
52999,8.294,33.124375
53000,8.274,33.125
53001,8.234,33.125625
53002,8.219,33.12625
53003,8.25,33.126875
53004,8.2,33.1275
53005,8.2,33.128125
53006,8.235,33.12875
53007,8.259,33.129375
53008,8.257,33.13
53009,8.24,33.130625
53010,8.209,33.13125
53011,8.204,33.131875
53012,8.204,33.1325
53013,8.206,33.133125
53014,8.192,33.13375
53015,8.176,33.134375
53016,8.181,33.135
53017,8.239,33.135625
53018,8.27,33.13625
53019,8.295,33.136875
53020,8.318,33.1375
53021,8.332,33.138125
53022,8.325,33.13875
53023,8.319,33.139375
53024,8.342,33.14
53025,8.352,33.140625
53026,8.375,33.14125
53027,8.418,33.141875
53028,8.415,33.1425
53029,8.419,33.143125
53030,8.442,33.14375
53031,8.513,33.144375
53032,8.496,33.145
53033,8.485,33.145625
53034,8.522,33.14625
53035,8.507,33.146875
53036,8.498,33.1475
53037,8.498,33.148125
53038,8.518,33.14875
53039,8.493,33.149375
53040,8.47,33.15
53041,8.484,33.150625
53042,8.469,33.15125
53043,8.452,33.151875
53044,8.436,33.1525
