,t,Vdbz
0,77.063125,
1,77.06375,
2,77.064375,
3,77.065,
4,77.065625,
5,77.06625,
6,77.066875,
7,77.0675,
8,77.068125,
9,77.06875,
10,77.069375,
11,77.07,
12,77.070625,
13,77.07125,
14,77.071875,
15,77.0725,
16,77.073125,
17,77.07375,
18,77.074375,
19,77.075,
20,77.075625,
21,77.07625,
22,77.076875,
23,77.0775,
24,77.078125,
25,77.07875,
26,77.079375,
27,77.08,
28,77.080625,
29,77.08125,
30,77.081875,
31,77.0825,
32,77.083125,
33,77.08375,
34,77.084375,
35,77.085,
36,77.085625,
37,77.08625,
38,77.086875,
39,77.0875,
40,77.088125,
41,77.08875,
42,77.089375,
43,77.09,
44,77.090625,
45,77.09125,
46,77.091875,
47,77.0925,
48,77.093125,
49,77.09375,
50,77.094375,
51,77.095,
52,77.095625,
53,77.09625,
54,77.096875,
55,77.0975,
56,77.098125,
57,77.09875,
58,77.099375,
59,77.1,
60,77.100625,
61,77.10125,
62,77.101875,
63,77.1025,
64,77.103125,
65,77.10375,
66,77.104375,
67,77.105,
68,77.105625,
69,77.10625,
70,77.106875,
71,77.1075,
72,77.108125,
73,77.10875,
74,77.109375,
75,77.11,
76,77.110625,
77,77.11125,
78,77.111875,
79,77.1125,
80,77.113125,
81,77.11375,
82,77.114375,
83,77.115,
84,77.115625,
85,77.11625,
86,77.116875,
87,77.1175,
88,77.118125,
89,77.11875,
90,77.119375,
91,77.12,
92,77.120625,
93,77.12125,
94,77.121875,
95,77.1225,
96,77.123125,
97,77.12375,
98,77.124375,
99,77.125,
100,77.125625,
101,77.12625,
102,77.126875,
103,77.1275,
104,77.128125,
105,77.12875,
106,77.129375,
107,77.13,
108,77.130625,
109,77.13125,
110,77.131875,
111,77.1325,
112,77.133125,
113,77.13375,
114,77.134375,
115,77.135,
116,77.135625,
117,77.13625,
118,77.136875,
119,77.1375,
120,77.138125,
121,77.13875,
122,77.139375,
123,77.14,
124,77.140625,
125,77.14125,
126,77.141875,
127,77.1425,
128,77.143125,
129,77.14375,
130,77.144375,
131,77.145,
132,77.145625,
133,77.14625,
134,77.146875,
135,77.1475,
136,77.148125,
137,77.14875,
138,77.149375,
139,77.15,
140,77.150625,
141,77.15125,
142,77.151875,
143,77.1525,
144,77.153125,
145,77.15375,
146,77.154375,
147,77.155,
148,77.155625,
149,77.15625,
150,77.156875,
151,77.1575,
152,77.158125,
153,77.15875,
154,77.159375,
155,77.16,
156,77.160625,
157,77.16125,
158,77.161875,
159,77.1625,
160,77.163125,
161,77.16375,
162,77.164375,
163,77.165,
164,77.165625,
165,77.16625,
166,77.166875,
167,77.1675,
168,77.168125,
169,77.16875,
170,77.169375,
171,77.17,
172,77.170625,
173,77.17125,
174,77.171875,
175,77.1725,
176,77.173125,
177,77.17375,
178,77.174375,
179,77.175,
180,77.175625,
181,77.17625,
182,77.176875,
183,77.1775,
184,77.178125,
185,77.17875,
186,77.179375,
187,77.18,
188,77.180625,
189,77.18125,
190,77.181875,
191,77.1825,
192,77.183125,
193,77.18375,
194,77.184375,
195,77.185,
196,77.185625,
197,77.18625,
198,77.186875,
199,77.1875,
200,77.188125,
201,77.18875,
202,77.189375,
203,77.19,
204,77.190625,
205,77.19125,
206,77.191875,
207,77.1925,
208,77.193125,
209,77.19375,
210,77.194375,
211,77.195,
212,77.195625,
213,77.19625,
214,77.196875,
215,77.1975,
216,77.198125,
217,77.19875,
218,77.199375,
219,77.2,
220,77.200625,
221,77.20125,
222,77.201875,
223,77.2025,
224,77.203125,
225,77.20375,
226,77.204375,
227,77.205,
228,77.205625,
229,77.20625,
230,77.206875,
231,77.2075,
232,77.208125,
233,77.20875,
234,77.209375,
235,77.21,
236,77.210625,
237,77.21125,
238,77.211875,
239,77.2125,
240,77.213125,
241,77.21375,
242,77.214375,
243,77.215,
244,77.215625,
245,77.21625,
246,77.216875,
247,77.2175,
248,77.218125,
249,77.21875,
250,77.219375,
251,77.22,
252,77.220625,
253,77.22125,
254,77.221875,
255,77.2225,
256,77.223125,
257,77.22375,
258,77.224375,
259,77.225,
260,77.225625,
261,77.22625,
262,77.226875,
263,77.2275,
264,77.228125,
265,77.22875,
266,77.229375,
267,77.23,
268,77.230625,
269,77.23125,
270,77.231875,
271,77.2325,
272,77.233125,
273,77.23375,
274,77.234375,
275,77.235,
276,77.235625,
277,77.23625,
278,77.236875,
279,77.2375,
280,77.238125,
281,77.23875,
282,77.239375,
283,77.24,
284,77.240625,
285,77.24125,
286,77.241875,
287,77.2425,
288,77.243125,
289,77.24375,
290,77.244375,
291,77.245,
292,77.245625,
293,77.24625,
294,77.246875,
295,77.2475,
296,77.248125,
297,77.24875,
298,77.249375,
299,77.25,
300,77.250625,
301,77.25125,
302,77.251875,
303,77.2525,
304,77.253125,
305,77.25375,
306,77.254375,
307,77.255,
308,77.255625,
309,77.25625,
310,77.256875,
311,77.2575,
312,77.258125,
313,77.25875,
314,77.259375,
315,77.26,
316,77.260625,
317,77.26125,
318,77.261875,
319,77.2625,
320,77.263125,
321,77.26375,
322,77.264375,
323,77.265,
324,77.265625,
325,77.26625,
326,77.266875,
327,77.2675,
328,77.268125,
329,77.26875,
330,77.269375,
331,77.27,
332,77.270625,
333,77.27125,
334,77.271875,
335,77.2725,
336,77.273125,
337,77.27375,
338,77.274375,
339,77.275,
340,77.275625,
341,77.27625,
342,77.276875,
343,77.2775,
344,77.278125,
345,77.27875,
346,77.279375,
347,77.28,
348,77.280625,
349,77.28125,
350,77.281875,
351,77.2825,
352,77.283125,
353,77.28375,
354,77.284375,
355,77.285,
356,77.285625,
357,77.28625,
358,77.286875,
359,77.2875,
360,77.288125,
361,77.28875,
362,77.289375,
363,77.29,
364,77.290625,
365,77.29125,
366,77.291875,
367,77.2925,
368,77.293125,
369,77.29375,
370,77.294375,
371,77.295,
372,77.295625,
373,77.29625,
374,77.296875,
375,77.2975,
376,77.298125,
377,77.29875,
378,77.299375,
379,77.3,
380,77.300625,
381,77.30125,
382,77.301875,
383,77.3025,
384,77.303125,
385,77.30375,
386,77.304375,
387,77.305,
388,77.305625,
389,77.30625,
390,77.306875,
391,77.3075,
392,77.308125,
393,77.30875,
394,77.309375,
395,77.31,
396,77.310625,
397,77.31125,
398,77.311875,
399,77.3125,
400,77.313125,
401,77.31375,
402,77.314375,
403,77.315,
404,77.315625,
405,77.31625,
406,77.316875,
407,77.3175,
408,77.318125,
409,77.31875,
410,77.319375,
411,77.32,
412,77.320625,
413,77.32125,
414,77.321875,
415,77.3225,
416,77.323125,
417,77.32375,
418,77.324375,
419,77.325,
420,77.325625,
421,77.32625,
422,77.326875,
423,77.3275,
424,77.328125,
425,77.32875,
426,77.329375,
427,77.33,
428,77.330625,
429,77.33125,
430,77.331875,
431,77.3325,
432,77.333125,
433,77.33375,
434,77.334375,
435,77.335,
436,77.335625,
437,77.33625,
438,77.336875,
439,77.3375,
440,77.338125,
441,77.33875,
442,77.339375,
443,77.34,
444,77.340625,
445,77.34125,
446,77.341875,
447,77.3425,
448,77.343125,
449,77.34375,
450,77.344375,
451,77.345,
452,77.345625,
453,77.34625,
454,77.346875,
455,77.3475,
456,77.348125,
457,77.34875,
458,77.349375,
459,77.35,
460,77.350625,
461,77.35125,
462,77.351875,
463,77.3525,
464,77.353125,
465,77.35375,
466,77.354375,
467,77.355,
468,77.355625,
469,77.35625,
470,77.356875,
471,77.3575,
472,77.358125,
473,77.35875,
474,77.359375,
475,77.36,
476,77.360625,
477,77.36125,
478,77.361875,
479,77.3625,
480,77.363125,
481,77.36375,
482,77.364375,
483,77.365,
484,77.365625,
485,77.36625,
486,77.366875,
487,77.3675,
488,77.368125,
489,77.36875,
490,77.369375,
491,77.37,
492,77.370625,
493,77.37125,
494,77.371875,
495,77.3725,
496,77.373125,
497,77.37375,
498,77.374375,
499,77.375,
500,77.375625,
501,77.37625,
502,77.376875,
503,77.3775,
504,77.378125,
505,77.37875,
506,77.379375,
507,77.38,
508,77.380625,
509,77.38125,
510,77.381875,
511,77.3825,
512,77.383125,
513,77.38375,
514,77.384375,
515,77.385,
516,77.385625,
517,77.38625,
518,77.386875,
519,77.3875,
520,77.388125,
521,77.38875,
522,77.389375,
523,77.39,
524,77.390625,
525,77.39125,
526,77.391875,
527,77.3925,
528,77.393125,
529,77.39375,
530,77.394375,
531,77.395,
532,77.395625,
533,77.39625,
534,77.396875,
535,77.3975,
536,77.398125,
537,77.39875,
538,77.399375,
539,77.4,
540,77.400625,
541,77.40125,
542,77.401875,
543,77.4025,
544,77.403125,
545,77.40375,
546,77.404375,
547,77.405,
548,77.405625,
549,77.40625,
550,77.406875,
551,77.4075,
552,77.408125,
553,77.40875,
554,77.409375,
555,77.41,
556,77.410625,
557,77.41125,
558,77.411875,
559,77.4125,
560,77.413125,
561,77.41375,
562,77.414375,
