,ay,t
140872,4.523,88.045
140873,4.548,88.045625
140874,4.565,88.04625
140875,4.535,88.046875
140876,4.524,88.0475
140877,4.56,88.048125
140878,4.628,88.04875
140879,4.696,88.049375
140880,4.518,88.05
140881,4.29,88.050625
140882,4.103,88.05125
140883,3.975,88.051875
140884,3.866,88.0525
140885,3.77,88.053125
140886,3.672,88.05375
140887,3.668,88.054375
140888,3.699,88.055
140889,3.723,88.055625
140890,3.725,88.05625
140891,3.755,88.056875
140892,3.808,88.0575
140893,3.767,88.058125
140894,3.747,88.05875
140895,3.702,88.059375
140896,3.555,88.06
140897,3.476,88.060625
140898,3.387,88.06125
140899,3.274,88.061875
140900,3.233,88.0625
140901,3.214,88.063125
140902,3.196,88.06375
140903,3.138,88.064375
140904,3.146,88.065
140905,3.127,88.065625
140906,3.042,88.06625
140907,3.037,88.066875
140908,3.012,88.0675
140909,2.981,88.068125
140910,2.994,88.06875
140911,2.967,88.069375
140912,2.941,88.07
140913,2.945,88.070625
140914,2.894,88.07125
140915,2.879,88.071875
140916,2.889,88.0725
140917,2.821,88.073125
140918,2.792,88.07375
140919,2.776,88.074375
140920,2.756,88.075
140921,2.768,88.075625
140922,2.743,88.07625
140923,2.672,88.076875
140924,2.608,88.0775
140925,2.597,88.078125
140926,2.617,88.07875
140927,2.648,88.079375
140928,2.67,88.08
140929,2.622,88.080625
140930,2.485,88.08125
140931,2.454,88.081875
140932,2.436,88.0825
140933,2.42,88.083125
140934,2.383,88.08375
140935,2.364,88.084375
140936,2.347,88.085
140937,2.323,88.085625
140938,2.388,88.08625
140939,2.376,88.086875
140940,2.311,88.0875
140941,2.297,88.088125
140942,2.329,88.08875
140943,2.37,88.089375
140944,2.397,88.09
140945,2.518,88.090625
140946,2.572,88.09125
140947,2.553,88.091875
140948,2.516,88.0925
140949,2.474,88.093125
140950,2.43,88.09375
140951,2.386,88.094375
140952,2.401,88.095
140953,2.399,88.095625
140954,2.371,88.09625
140955,2.381,88.096875
140956,2.393,88.0975
140957,2.399,88.098125
140958,2.379,88.09875
140959,2.423,88.099375
140960,2.473,88.1
140961,2.514,88.100625
140962,2.5,88.10125
140963,2.553,88.101875
140964,2.634,88.1025
140965,2.638,88.103125
140966,2.686,88.10375
140967,2.799,88.104375
140968,3.003,88.105
140969,3.015,88.105625
140970,2.989,88.10625
