,ax,t
59240,-9.215,37.025
59241,-9.275,37.025625
59242,-9.343,37.02625
59243,-9.406,37.026875
59244,-9.443,37.0275
59245,-9.482,37.028125
59246,-9.507,37.02875
59247,-9.47,37.029375
59248,-9.534,37.03
59249,-9.632,37.030625
59250,-9.74,37.03125
59251,-9.709,37.031875
59252,-9.723,37.0325
59253,-9.777,37.033125
59254,-9.804,37.03375
59255,-9.821,37.034375
59256,-9.825,37.035
59257,-9.804,37.035625
59258,-9.855,37.03625
59259,-9.891,37.036875
59260,-9.894,37.0375
59261,-9.81,37.038125
59262,-9.782,37.03875
59263,-9.791,37.039375
59264,-9.808,37.04
59265,-9.854,37.040625
59266,-9.891,37.04125
59267,-9.897,37.041875
59268,-9.937,37.0425
59269,-9.933,37.043125
59270,-9.896,37.04375
59271,-9.879,37.044375
59272,-9.91,37.045
59273,-9.931,37.045625
59274,-9.88,37.04625
59275,-9.859,37.046875
59276,-9.875,37.0475
59277,-9.926,37.048125
59278,-9.916,37.04875
59279,-9.891,37.049375
59280,-9.868,37.05
59281,-9.885,37.050625
59282,-9.837,37.05125
59283,-9.82,37.051875
59284,-9.881,37.0525
59285,-9.815,37.053125
59286,-9.753,37.05375
59287,-9.7,37.054375
59288,-9.653,37.055
59289,-9.653,37.055625
59290,-9.642,37.05625
59291,-9.554,37.056875
59292,-9.487,37.0575
59293,-9.428,37.058125
59294,-9.374,37.05875
59295,-9.323,37.059375
59296,-9.272,37.06
59297,-9.221,37.060625
59298,-9.167,37.06125
59299,-9.099,37.061875
59300,-9.037,37.0625
59301,-8.99,37.063125
59302,-8.9,37.06375
59303,-8.837,37.064375
59304,-8.792,37.065
59305,-8.717,37.065625
59306,-8.701,37.06625
59307,-8.688,37.066875
59308,-8.627,37.0675
59309,-8.528,37.068125
59310,-8.444,37.06875
59311,-8.387,37.069375
59312,-8.333,37.07
59313,-8.251,37.070625
59314,-8.163,37.07125
59315,-8.108,37.071875
59316,-8.052,37.0725
59317,-8.003,37.073125
59318,-7.969,37.07375
59319,-7.936,37.074375
59320,-7.862,37.075
59321,-7.757,37.075625
59322,-7.679,37.07625
59323,-7.649,37.076875
59324,-7.635,37.0775
59325,-7.612,37.078125
59326,-7.541,37.07875
59327,-7.486,37.079375
59328,-7.459,37.08
59329,-7.422,37.080625
59330,-7.372,37.08125
59331,-7.314,37.081875
59332,-7.257,37.0825
59333,-7.234,37.083125
59334,-7.197,37.08375
59335,-7.119,37.084375
59336,-7.083,37.085
59337,-7.055,37.085625
59338,-7.021,37.08625
59339,-6.916,37.086875
59340,-6.895,37.0875
59341,-6.902,37.088125
59342,-6.892,37.08875
59343,-6.855,37.089375
59344,-6.833,37.09
59345,-6.828,37.090625
59346,-6.714,37.09125
59347,-6.658,37.091875
59348,-6.646,37.0925
59349,-6.67,37.093125
59350,-6.622,37.09375
59351,-6.581,37.094375
59352,-6.584,37.095
59353,-6.539,37.095625
59354,-6.49,37.09625
59355,-6.443,37.096875
59356,-6.422,37.0975
59357,-6.381,37.098125
59358,-6.332,37.09875
59359,-6.288,37.099375
59360,-6.274,37.1
59361,-6.265,37.100625
59362,-6.256,37.10125
59363,-6.195,37.101875
59364,-6.147,37.1025
59365,-6.104,37.103125
59366,-6.05,37.10375
59367,-6.025,37.104375
59368,-6.015,37.105
59369,-6.019,37.105625
59370,-6.006,37.10625
59371,-5.985,37.106875
59372,-5.962,37.1075
59373,-5.962,37.108125
59374,-5.983,37.10875
59375,-5.977,37.109375
59376,-5.883,37.11
59377,-5.903,37.110625
59378,-5.896,37.11125
59379,-5.838,37.111875
59380,-5.858,37.1125
59381,-5.872,37.113125
59382,-5.871,37.11375
59383,-5.827,37.114375
59384,-5.797,37.115
59385,-5.754,37.115625
59386,-5.687,37.11625
59387,-5.658,37.116875
59388,-5.662,37.1175
59389,-5.674,37.118125
59390,-5.552,37.11875
59391,-5.54,37.119375
59392,-5.563,37.12
59393,-5.56,37.120625
59394,-5.536,37.12125
59395,-5.516,37.121875
59396,-5.505,37.1225
59397,-5.461,37.123125
59398,-5.43,37.12375
59399,-5.415,37.124375
59400,-5.435,37.125
59401,-5.421,37.125625
59402,-5.405,37.12625
59403,-5.401,37.126875
59404,-5.33,37.1275
59405,-5.318,37.128125
59406,-5.346,37.12875
59407,-5.285,37.129375
59408,-5.258,37.13
59409,-5.253,37.130625
59410,-5.27,37.13125
59411,-5.231,37.131875
59412,-5.196,37.1325
59413,-5.174,37.133125
59414,-5.117,37.13375
59415,-5.11,37.134375
59416,-5.123,37.135
59417,-5.096,37.135625
59418,-5.101,37.13625
59419,-5.118,37.136875
59420,-5.142,37.1375
59421,-5.085,37.138125
59422,-5.082,37.13875
59423,-5.119,37.139375
59424,-5.078,37.14
59425,-5.088,37.140625
59426,-5.121,37.14125
59427,-5.161,37.141875
59428,-5.14,37.1425
59429,-5.16,37.143125
59430,-5.236,37.14375
59431,-5.172,37.144375
59432,-5.114,37.145
59433,-5.07,37.145625
59434,-5.067,37.14625
59435,-5.074,37.146875
59436,-5.074,37.1475
59437,-5.057,37.148125
59438,-5.15,37.14875
59439,-5.146,37.149375
59440,-5.077,37.15
59441,-5.165,37.150625
59442,-5.181,37.15125
59443,-5.171,37.151875
59444,-5.171,37.1525
59445,-5.157,37.153125
59446,-5.148,37.15375
59447,-5.149,37.154375
59448,-5.183,37.155
59449,-5.187,37.155625
59450,-5.179,37.15625
59451,-5.193,37.156875
59452,-5.217,37.1575
59453,-5.229,37.158125
59454,-5.215,37.15875
59455,-5.234,37.159375
59456,-5.271,37.16
59457,-5.307,37.160625
59458,-5.236,37.16125
59459,-5.248,37.161875
59460,-5.294,37.1625
59461,-5.338,37.163125
59462,-5.385,37.16375
59463,-5.394,37.164375
59464,-5.358,37.165
59465,-5.344,37.165625
59466,-5.347,37.16625
59467,-5.366,37.166875
59468,-5.403,37.1675
59469,-5.419,37.168125
59470,-5.423,37.16875
59471,-5.416,37.169375
59472,-5.416,37.17
59473,-5.434,37.170625
59474,-5.465,37.17125
59475,-5.479,37.171875
59476,-5.478,37.1725
59477,-5.488,37.173125
59478,-5.538,37.17375
59479,-5.536,37.174375
59480,-5.531,37.175
59481,-5.53,37.175625
59482,-5.503,37.17625
59483,-5.515,37.176875
59484,-5.544,37.1775
59485,-5.541,37.178125
59486,-5.593,37.17875
59487,-5.637,37.179375
59488,-5.641,37.18
59489,-5.631,37.180625
59490,-5.605,37.18125
59491,-5.579,37.181875
59492,-5.664,37.1825
59493,-5.665,37.183125
59494,-5.655,37.18375
59495,-5.706,37.184375
59496,-5.754,37.185
59497,-5.764,37.185625
59498,-5.732,37.18625
59499,-5.746,37.186875
59500,-5.738,37.1875
59501,-5.726,37.188125
59502,-5.742,37.18875
59503,-5.735,37.189375
59504,-5.721,37.19
59505,-5.704,37.190625
59506,-5.709,37.19125
59507,-5.693,37.191875
59508,-5.665,37.1925
59509,-5.705,37.193125
59510,-5.746,37.19375
59511,-5.762,37.194375
59512,-5.718,37.195
59513,-5.707,37.195625
59514,-5.7,37.19625
59515,-5.694,37.196875
59516,-5.707,37.1975
59517,-5.679,37.198125
59518,-5.629,37.19875
59519,-5.595,37.199375
59520,-5.607,37.2
59521,-5.623,37.200625
59522,-5.626,37.20125
59523,-5.549,37.201875
59524,-5.542,37.2025
59525,-5.598,37.203125
59526,-5.638,37.20375
59527,-5.622,37.204375
59528,-5.579,37.205
59529,-5.532,37.205625
59530,-5.608,37.20625
59531,-5.619,37.206875
59532,-5.529,37.2075
59533,-5.478,37.208125
59534,-5.457,37.20875
59535,-5.459,37.209375
