,ay,t
91291,10.677,57.056875
91292,10.643,57.0575
91293,10.599,57.058125
91294,10.555,57.05875
91295,10.538,57.059375
91296,10.489,57.06
91297,10.449,57.060625
91298,10.439,57.06125
91299,10.374,57.061875
91300,10.343,57.0625
91301,10.334,57.063125
91302,10.263,57.06375
91303,10.214,57.064375
91304,10.163,57.065
91305,10.085,57.065625
91306,10.039,57.06625
91307,9.997,57.066875
91308,9.954,57.0675
91309,9.931,57.068125
91310,9.884,57.06875
91311,9.815,57.069375
91312,9.717,57.07
91313,9.651,57.070625
91314,9.595,57.07125
91315,9.541,57.071875
91316,9.471,57.0725
91317,9.38,57.073125
91318,9.288,57.07375
91319,9.315,57.074375
91320,9.237,57.075
91321,9.133,57.075625
91322,9.072,57.07625
91323,8.991,57.076875
91324,8.906,57.0775
91325,8.823,57.078125
91326,8.776,57.07875
91327,8.735,57.079375
91328,8.681,57.08
91329,8.563,57.080625
91330,8.548,57.08125
91331,8.526,57.081875
91332,8.441,57.0825
91333,8.369,57.083125
91334,8.304,57.08375
91335,8.244,57.084375
91336,8.194,57.085
91337,8.143,57.085625
91338,8.098,57.08625
91339,8.068,57.086875
91340,8.031,57.0875
91341,7.977,57.088125
91342,7.906,57.08875
91343,7.902,57.089375
91344,7.813,57.09
91345,7.703,57.090625
91346,7.716,57.09125
91347,7.69,57.091875
91348,7.652,57.0925
91349,7.615,57.093125
91350,7.533,57.09375
91351,7.499,57.094375
91352,7.505,57.095
91353,7.482,57.095625
91354,7.42,57.09625
91355,7.352,57.096875
91356,7.308,57.0975
91357,7.329,57.098125
91358,7.318,57.09875
91359,7.26,57.099375
91360,7.291,57.1
91361,7.271,57.100625
91362,7.233,57.10125
91363,7.247,57.101875
91364,7.234,57.1025
91365,7.212,57.103125
91366,7.188,57.10375
91367,7.194,57.104375
91368,7.23,57.105
91369,7.286,57.105625
91370,7.313,57.10625
91371,7.291,57.106875
91372,7.268,57.1075
91373,7.298,57.108125
91374,7.308,57.10875
91375,7.313,57.109375
91376,7.316,57.11
91377,7.285,57.110625
91378,7.303,57.11125
91379,7.331,57.111875
91380,7.284,57.1125
91381,7.292,57.113125
91382,7.286,57.11375
91383,7.228,57.114375
91384,7.293,57.115
91385,7.305,57.115625
91386,7.273,57.11625
91387,7.31,57.116875
91388,7.302,57.1175
91389,7.29,57.118125
91390,7.314,57.11875
91391,7.323,57.119375
91392,7.339,57.12
91393,7.363,57.120625
91394,7.333,57.12125
91395,7.345,57.121875
91396,7.365,57.1225
91397,7.317,57.123125
91398,7.371,57.12375
91399,7.41,57.124375
91400,7.376,57.125
91401,7.4,57.125625
91402,7.431,57.12625
91403,7.462,57.126875
91404,7.475,57.1275
91405,7.529,57.128125
91406,7.589,57.12875
91407,7.619,57.129375
91408,7.694,57.13
91409,7.77,57.130625
91410,7.84,57.13125
91411,7.884,57.131875
91412,7.859,57.1325
91413,7.802,57.133125
91414,7.785,57.13375
91415,7.797,57.134375
91416,7.8,57.135
91417,7.773,57.135625
91418,7.772,57.13625
91419,7.746,57.136875
91420,7.695,57.1375
91421,7.614,57.138125
91422,7.578,57.13875
91423,7.562,57.139375
91424,7.548,57.14
91425,7.485,57.140625
91426,7.437,57.14125
91427,7.416,57.141875
91428,7.375,57.1425
91429,7.351,57.143125
91430,7.338,57.14375
91431,7.324,57.144375
91432,7.274,57.145
91433,7.21,57.145625
91434,7.143,57.14625
91435,7.111,57.146875
91436,7.082,57.1475
91437,7.049,57.148125
91438,6.967,57.14875
91439,6.931,57.149375
91440,6.9,57.15
91441,6.832,57.150625
91442,6.785,57.15125
91443,6.691,57.151875
91444,6.54,57.1525
91445,6.513,57.153125
91446,6.459,57.15375
91447,6.395,57.154375
91448,6.357,57.155
91449,6.272,57.155625
91450,6.214,57.15625
91451,6.224,57.156875
91452,6.196,57.1575
91453,6.138,57.158125
91454,6.069,57.15875
91455,6.086,57.159375
91456,6.072,57.16
