,az,t
65722,-0.457,41.07625
65723,-0.585,41.076875
65724,-0.713,41.0775
65725,-0.818,41.078125
65726,-0.918,41.07875
65727,-1.019,41.079375
65728,-1.101,41.08
65729,-1.177,41.080625
65730,-1.241,41.08125
65731,-1.251,41.081875
65732,-1.238,41.0825
65733,-1.231,41.083125
65734,-1.268,41.08375
65735,-1.265,41.084375
65736,-1.238,41.085
65737,-1.192,41.085625
65738,-1.165,41.08625
65739,-1.156,41.086875
65740,-1.14,41.0875
65741,-1.042,41.088125
65742,-1.002,41.08875
65743,-0.966,41.089375
65744,-0.908,41.09
65745,-0.883,41.090625
65746,-0.818,41.09125
65747,-0.722,41.091875
65748,-0.668,41.0925
65749,-0.586,41.093125
65750,-0.512,41.09375
65751,-0.491,41.094375
65752,-0.451,41.095
65753,-0.399,41.095625
65754,-0.339,41.09625
65755,-0.302,41.096875
65756,-0.215,41.0975
65757,-0.124,41.098125
65758,-0.144,41.09875
65759,-0.096,41.099375
65760,-0.039,41.1
65761,-0.002,41.100625
65762,0.038,41.10125
65763,0.073,41.101875
65764,0.099,41.1025
65765,0.089,41.103125
65766,0.133,41.10375
65767,0.171,41.104375
65768,0.13,41.105
65769,0.162,41.105625
65770,0.2,41.10625
65771,0.229,41.106875
65772,0.202,41.1075
65773,0.204,41.108125
65774,0.217,41.10875
65775,0.2,41.109375
65776,0.133,41.11
65777,0.063,41.110625
65778,0.013,41.11125
65779,-0.038,41.111875
65780,-0.064,41.1125
65781,-0.077,41.113125
65782,-0.168,41.11375
65783,-0.213,41.114375
65784,-0.241,41.115
65785,-0.282,41.115625
65786,-0.284,41.11625
65787,-0.359,41.116875
65788,-0.528,41.1175
65789,-0.579,41.118125
65790,-0.636,41.11875
65791,-0.694,41.119375
65792,-0.745,41.12
65793,-0.838,41.120625
65794,-0.917,41.12125
65795,-0.951,41.121875
65796,-1.048,41.1225
65797,-1.157,41.123125
65798,-1.271,41.12375
65799,-1.379,41.124375
65800,-1.462,41.125
65801,-1.533,41.125625
65802,-1.604,41.12625
65803,-1.721,41.126875
65804,-1.827,41.1275
65805,-1.907,41.128125
65806,-1.951,41.12875
65807,-2.009,41.129375
65808,-2.075,41.13
65809,-2.132,41.130625
65810,-2.184,41.13125
65811,-2.228,41.131875
65812,-2.258,41.1325
65813,-2.317,41.133125
65814,-2.364,41.13375
65815,-2.397,41.134375
65816,-2.424,41.135
65817,-2.505,41.135625
65818,-2.588,41.13625
65819,-2.615,41.136875
65820,-2.683,41.1375
65821,-2.741,41.138125
65822,-2.777,41.13875
65823,-2.781,41.139375
65824,-2.823,41.14
65825,-2.886,41.140625
65826,-2.93,41.14125
65827,-2.974,41.141875
65828,-2.998,41.1425
65829,-2.984,41.143125
65830,-3.012,41.14375
65831,-3.065,41.144375
65832,-3.128,41.145
65833,-3.094,41.145625
65834,-3.06,41.14625
65835,-3.053,41.146875
65836,-3.118,41.1475
65837,-3.086,41.148125
65838,-3.055,41.14875
65839,-3.045,41.149375
65840,-3.025,41.15
65841,-3.045,41.150625
65842,-3.109,41.15125
65843,-3.241,41.151875
65844,-3.307,41.1525
65845,-3.351,41.153125
65846,-3.388,41.15375
65847,-3.333,41.154375
65848,-3.285,41.155
65849,-3.248,41.155625
65850,-3.221,41.15625
65851,-3.211,41.156875
65852,-3.201,41.1575
65853,-3.174,41.158125
65854,-3.118,41.15875
65855,-3.116,41.159375
65856,-3.189,41.16
65857,-3.168,41.160625
65858,-3.152,41.16125
65859,-3.151,41.161875
65860,-3.206,41.1625
65861,-3.192,41.163125
65862,-3.174,41.16375
65863,-3.184,41.164375
65864,-3.162,41.165
65865,-3.183,41.165625
65866,-3.242,41.16625
65867,-3.293,41.166875
65868,-3.29,41.1675
65869,-3.262,41.168125
65870,-3.232,41.16875
65871,-3.282,41.169375
65872,-3.309,41.17
65873,-3.289,41.170625
65874,-3.279,41.17125
65875,-3.281,41.171875
65876,-3.288,41.1725
65877,-3.278,41.173125
65878,-3.312,41.17375
65879,-3.372,41.174375
65880,-3.457,41.175
65881,-3.484,41.175625
65882,-3.511,41.17625
65883,-3.544,41.176875
65884,-3.591,41.1775
65885,-3.648,41.178125
65886,-3.696,41.17875
65887,-3.709,41.179375
65888,-3.74,41.18
65889,-3.757,41.180625
65890,-3.755,41.18125
65891,-3.813,41.181875
65892,-3.868,41.1825
65893,-3.94,41.183125
65894,-4.085,41.18375
65895,-4.144,41.184375
65896,-4.166,41.185
65897,-4.166,41.185625
65898,-4.169,41.18625
65899,-4.169,41.186875
65900,-4.162,41.1875
65901,-4.129,41.188125
65902,-4.134,41.18875
65903,-4.145,41.189375
65904,-4.121,41.19
65905,-4.132,41.190625
65906,-4.179,41.19125
65907,-4.262,41.191875
65908,-4.3,41.1925
65909,-4.312,41.193125
65910,-4.317,41.19375
65911,-4.354,41.194375
65912,-4.336,41.195
65913,-4.304,41.195625
65914,-4.273,41.19625
65915,-4.29,41.196875
65916,-4.281,41.1975
65917,-4.246,41.198125
65918,-4.232,41.19875
65919,-4.172,41.199375
65920,-4.121,41.2
65921,-4.152,41.200625
65922,-4.11,41.20125
65923,-4.059,41.201875
65924,-4.012,41.2025
65925,-3.992,41.203125
65926,-3.961,41.20375
65927,-3.938,41.204375
65928,-3.975,41.205
65929,-3.95,41.205625
65930,-3.924,41.20625
65931,-3.931,41.206875
65932,-4.007,41.2075
65933,-4.06,41.208125
65934,-4.086,41.20875
65935,-4.096,41.209375
65936,-4.066,41.21
65937,-4.025,41.210625
65938,-4.002,41.21125
65939,-4.021,41.211875
65940,-4.068,41.2125
65941,-4.136,41.213125
65942,-4.068,41.21375
65943,-4.113,41.214375
65944,-4.217,41.215
65945,-4.261,41.215625
65946,-4.316,41.21625
65947,-4.356,41.216875
65948,-4.366,41.2175
65949,-4.399,41.218125
65950,-4.387,41.21875
65951,-4.34,41.219375
65952,-4.361,41.22
65953,-4.348,41.220625
65954,-4.314,41.22125
65955,-4.26,41.221875
65956,-4.191,41.2225
65957,-4.155,41.223125
65958,-4.16,41.22375
65959,-4.12,41.224375
65960,-4.1,41.225
65961,-4.081,41.225625
65962,-4.01,41.22625
65963,-3.973,41.226875
65964,-3.949,41.2275
65965,-3.932,41.228125
65966,-3.865,41.22875
65967,-3.836,41.229375
65968,-3.845,41.23
