,numero,intensitemax
0,coupe_0,-28.02378171189538
1,coupe_1,-32.3161191351299
2,coupe_2,-31.879883373709692
3,coupe_3,-39.14648835975629
4,coupe_4,-40.64391658766845
5,coupe_5,-36.43436621326137
6,coupe_6,-29.565162637955847
7,coupe_7,-40.53736325417199
8,coupe_8,-35.189210742434675
9,coupe_9,-28.241858288149267
10,coupe_10,-38.88629543091842
11,coupe_11,-32.048681902496
12,coupe_12,-30.237174464146147
13,coupe_13,-33.779834168723696
14,coupe_14,-28.387858791988577
15,coupe_15,-34.78918213350667
