,numero,intensitemax
0,coupe_0,-34.199066768560606
1,coupe_1,-36.79993361793238
2,coupe_2,-38.570222615082514
3,coupe_3,-41.73083621407563
4,coupe_4,-37.083708400820946
5,coupe_5,-36.4292289971607
6,coupe_6,-36.43976725969768
7,coupe_7,-37.8667699515932
8,coupe_8,-35.29729943009149
9,coupe_9,-35.89614882684971
10,coupe_10,-34.065630224492
11,coupe_11,-33.65809266550225
12,coupe_12,-34.62831191389052
13,coupe_13,-31.05480776472895
14,coupe_14,-37.58217016324434
15,coupe_15,-35.718389044458746
