,numero,intensitemax
0,coupe_0,-32.3802410119371
1,coupe_1,-34.42632783431007
2,coupe_2,-32.58329054420934
3,coupe_3,-38.52140323140687
4,coupe_4,-38.60965022571841
5,coupe_5,-31.946866315681426
6,coupe_6,-33.62202606869331
7,coupe_7,-38.07292197512693
8,coupe_8,-36.06654214624749
9,coupe_9,-38.65292015985162
10,coupe_10,-35.563656299814504
11,coupe_11,-32.584051353457866
12,coupe_12,-35.48013642177644
13,coupe_13,-32.95006072446413
14,coupe_14,-30.721841110242284
15,coupe_15,-39.2722498602757
