,ay,t
108973,6.018,68.108125
108974,5.906,68.10875
108975,5.818,68.109375
108976,5.745,68.11
108977,5.607,68.110625
108978,5.557,68.11125
108979,5.529,68.111875
108980,5.455,68.1125
108981,5.369,68.113125
108982,5.293,68.11375
108983,5.23,68.114375
108984,5.102,68.115
108985,5.041,68.115625
108986,5.021,68.11625
108987,4.983,68.116875
108988,4.894,68.1175
108989,4.817,68.118125
108990,4.79,68.11875
108991,4.772,68.119375
108992,4.768,68.12
108993,4.77,68.120625
108994,4.736,68.12125
108995,4.731,68.121875
108996,4.729,68.1225
108997,4.705,68.123125
108998,4.72,68.12375
108999,4.696,68.124375
109000,4.62,68.125
109001,4.603,68.125625
109002,4.632,68.12625
109003,4.664,68.126875
109004,4.593,68.1275
109005,4.583,68.128125
109006,4.571,68.12875
109007,4.527,68.129375
109008,4.499,68.13
109009,4.481,68.130625
109010,4.466,68.13125
109011,4.408,68.131875
109012,4.407,68.1325
109013,4.405,68.133125
109014,4.334,68.13375
109015,4.336,68.134375
109016,4.331,68.135
109017,4.303,68.135625
109018,4.225,68.13625
109019,4.215,68.136875
109020,4.239,68.1375
109021,4.218,68.138125
109022,4.23,68.13875
109023,4.265,68.139375
109024,4.325,68.14
109025,4.258,68.140625
109026,4.225,68.14125
109027,4.227,68.141875
109028,4.217,68.1425
109029,4.181,68.143125
109030,4.141,68.14375
109031,4.121,68.144375
109032,4.153,68.145
109033,4.163,68.145625
109034,4.138,68.14625
109035,4.168,68.146875
109036,4.17,68.1475
109037,4.164,68.148125
109038,4.201,68.14875
109039,4.201,68.149375
109040,4.196,68.15
109041,4.199,68.150625
109042,4.228,68.15125
109043,4.217,68.151875
109044,4.176,68.1525
109045,4.183,68.153125
109046,4.159,68.15375
109047,4.133,68.154375
109048,4.137,68.155
109049,4.149,68.155625
109050,4.156,68.15625
109051,4.157,68.156875
109052,4.174,68.1575
109053,4.16,68.158125
109054,4.135,68.15875
109055,4.149,68.159375
109056,4.123,68.16
109057,4.115,68.160625
109058,4.159,68.16125
109059,4.206,68.161875
109060,4.151,68.1625
109061,4.026,68.163125
109062,4.056,68.16375
109063,4.079,68.164375
109064,4.069,68.165
109065,3.977,68.165625
109066,3.982,68.16625
109067,3.994,68.166875
109068,3.992,68.1675
109069,3.941,68.168125
109070,3.953,68.16875
109071,3.986,68.169375
109072,3.949,68.17
109073,3.917,68.170625
109074,3.887,68.17125
109075,3.856,68.171875
109076,3.877,68.1725
109077,3.87,68.173125
109078,3.833,68.17375
109079,3.765,68.174375
109080,3.702,68.175
109081,3.64,68.175625
109082,3.576,68.17625
109083,3.538,68.176875
109084,3.504,68.1775
109085,3.471,68.178125
109086,3.447,68.17875
109087,3.378,68.179375
109088,3.297,68.18
109089,3.287,68.180625
109090,3.224,68.18125
109091,3.145,68.181875
109092,3.064,68.1825
109093,3.018,68.183125
109094,2.942,68.18375
109095,2.848,68.184375
109096,2.842,68.185
109097,2.788,68.185625
109098,2.741,68.18625
109099,2.764,68.186875
109100,2.768,68.1875
109101,2.751,68.188125
109102,2.713,68.18875
109103,2.652,68.189375
109104,2.589,68.19
109105,2.535,68.190625
109106,2.522,68.19125
109107,2.442,68.191875
109108,2.36,68.1925
109109,2.306,68.193125
109110,2.22,68.19375
109111,2.146,68.194375
109112,2.09,68.195
109113,2.07,68.195625
109114,1.96,68.19625
109115,1.835,68.196875
109116,1.771,68.1975
109117,1.701,68.198125
109118,1.645,68.19875
109119,1.608,68.199375
109120,1.574,68.2
109121,1.578,68.200625
109122,1.599,68.20125
109123,1.595,68.201875
109124,1.61,68.2025
109125,1.607,68.203125
109126,1.563,68.20375
109127,1.599,68.204375
109128,1.626,68.205
109129,1.638,68.205625
109130,1.638,68.20625
109131,1.649,68.206875
109132,1.667,68.2075
109133,1.688,68.208125
109134,1.687,68.20875
109135,1.664,68.209375
109136,1.621,68.21
109137,1.706,68.210625
109138,1.751,68.21125
109139,1.759,68.211875
109140,1.718,68.2125
109141,1.717,68.213125
