,numero,intensitemax
0,coupe_0,-34.16016535669886
1,coupe_1,-32.51724010584042
2,coupe_2,-31.59700387173188
3,coupe_3,-32.931623341522794
4,coupe_4,-29.331842207534248
5,coupe_5,-30.92255873619294
6,coupe_6,-30.56124719603656
7,coupe_7,-30.148481136104415
8,coupe_8,-34.52305870146243
9,coupe_9,-34.14844548103177
10,coupe_10,-41.39959258989522
11,coupe_11,-39.48322936391965
12,coupe_12,-28.22350167095236
13,coupe_13,-32.8357776043715
14,coupe_14,-28.69595690384392
15,coupe_15,-36.70053496381594
