,ax,t
75253,8.919,47.033125
75254,8.988,47.03375
75255,9.085,47.034375
75256,9.279,47.035
75257,9.482,47.035625
75258,9.65,47.03625
75259,9.783,47.036875
75260,9.895,47.0375
75261,10.044,47.038125
75262,10.18,47.03875
75263,10.255,47.039375
75264,10.422,47.04
75265,10.597,47.040625
75266,10.775,47.04125
75267,10.996,47.041875
75268,11.171,47.0425
75269,11.355,47.043125
75270,11.624,47.04375
75271,11.801,47.044375
75272,12.035,47.045
75273,12.344,47.045625
75274,12.528,47.04625
75275,12.694,47.046875
75276,12.881,47.0475
75277,13.163,47.048125
75278,13.394,47.04875
75279,13.587,47.049375
75280,13.741,47.05
75281,14.003,47.050625
75282,14.245,47.05125
75283,14.444,47.051875
75284,14.529,47.0525
75285,14.743,47.053125
75286,14.944,47.05375
75287,15.066,47.054375
75288,15.248,47.055
75289,15.376,47.055625
75290,15.481,47.05625
75291,15.696,47.056875
75292,15.874,47.0575
75293,16.02,47.058125
75294,16.125,47.05875
75295,16.256,47.059375
75296,16.375,47.06
75297,16.482,47.060625
75298,16.601,47.06125
75299,16.739,47.061875
75300,16.906,47.0625
75301,17.12,47.063125
75302,17.28,47.06375
75303,17.411,47.064375
75304,17.53,47.065
75305,17.758,47.065625
75306,17.901,47.06625
75307,18.009,47.066875
75308,18.135,47.0675
75309,18.331,47.068125
75310,18.491,47.06875
75311,18.597,47.069375
75312,18.801,47.07
75313,18.932,47.070625
75314,19.053,47.07125
75315,19.284,47.071875
75316,19.432,47.0725
75317,19.59,47.073125
75318,19.791,47.07375
75319,19.937,47.074375
75320,20.136,47.075
75321,20.368,47.075625
75322,20.585,47.07625
75323,20.713,47.076875
75324,20.845,47.0775
75325,21.029,47.078125
75326,21.281,47.07875
75327,21.538,47.079375
75328,21.789,47.08
75329,21.993,47.080625
75330,22.215,47.08125
75331,22.422,47.081875
75332,22.589,47.0825
75333,22.859,47.083125
75334,23.085,47.08375
75335,23.271,47.084375
75336,23.53,47.085
75337,23.757,47.085625
75338,23.95,47.08625
75339,24.089,47.086875
75340,24.307,47.0875
75341,24.496,47.088125
75342,24.644,47.08875
75343,24.814,47.089375
75344,24.977,47.09
75345,25.123,47.090625
75346,25.228,47.09125
75347,25.334,47.091875
75348,25.42,47.0925
75349,25.479,47.093125
75350,25.469,47.09375
75351,25.456,47.094375
75352,25.407,47.095
75353,25.226,47.095625
75354,25.084,47.09625
75355,24.933,47.096875
75356,24.752,47.0975
75357,24.383,47.098125
75358,23.945,47.09875
75359,23.49,47.099375
75360,23.18,47.1
75361,22.865,47.100625
75362,22.559,47.10125
75363,22.27,47.101875
75364,22.003,47.1025
75365,21.699,47.103125
75366,21.373,47.10375
75367,21.111,47.104375
75368,20.849,47.105
75369,20.575,47.105625
75370,20.275,47.10625
75371,20.023,47.106875
75372,19.787,47.1075
75373,19.567,47.108125
75374,19.394,47.10875
75375,19.176,47.109375
75376,18.943,47.11
75377,18.726,47.110625
75378,18.544,47.11125
75379,18.372,47.111875
75380,18.2,47.1125
75381,17.955,47.113125
75382,17.817,47.11375
75383,17.71,47.114375
75384,17.527,47.115
75385,17.357,47.115625
75386,17.186,47.11625
75387,17.011,47.116875
75388,16.898,47.1175
75389,16.736,47.118125
75390,16.54,47.11875
75391,16.336,47.119375
75392,16.129,47.12
75393,15.926,47.120625
75394,15.728,47.12125
75395,15.621,47.121875
75396,15.467,47.1225
75397,15.278,47.123125
75398,15.098,47.12375
75399,14.928,47.124375
75400,14.761,47.125
75401,14.595,47.125625
75402,14.483,47.12625
75403,14.314,47.126875
75404,14.097,47.1275
75405,13.91,47.128125
75406,13.728,47.12875
75407,13.577,47.129375
75408,13.492,47.13
75409,13.305,47.130625
75410,13.144,47.13125
75411,13.006,47.131875
75412,12.744,47.1325
75413,12.582,47.133125
75414,12.459,47.13375
75415,12.32,47.134375
75416,12.169,47.135
75417,11.972,47.135625
75418,11.73,47.13625
75419,11.615,47.136875
75420,11.477,47.1375
75421,11.321,47.138125
75422,11.144,47.13875
75423,10.976,47.139375
75424,10.838,47.14
75425,10.738,47.140625
75426,10.558,47.14125
75427,10.421,47.141875
75428,10.301,47.1425
75429,10.134,47.143125
75430,10.05,47.14375
75431,9.976,47.144375
75432,9.881,47.145
75433,9.746,47.145625
75434,9.614,47.14625
75435,9.498,47.146875
75436,9.454,47.1475
75437,9.407,47.148125
75438,9.358,47.14875
75439,9.307,47.149375
75440,9.269,47.15
75441,9.217,47.150625
75442,9.151,47.15125
75443,9.076,47.151875
75444,9.05,47.1525
75445,9.049,47.153125
75446,9.063,47.15375
75447,9.125,47.154375
75448,9.169,47.155
75449,9.183,47.155625
75450,9.173,47.15625
75451,9.193,47.156875
75452,9.23,47.1575
75453,9.278,47.158125
75454,9.314,47.15875
75455,9.372,47.159375
75456,9.46,47.16
75457,9.531,47.160625
75458,9.612,47.16125
75459,9.7,47.161875
75460,9.798,47.1625
75461,9.93,47.163125
75462,10.093,47.16375
75463,10.291,47.164375
75464,10.41,47.165
75465,10.535,47.165625
75466,10.671,47.16625
75467,10.838,47.166875
75468,10.999,47.1675
75469,11.14,47.168125
75470,11.249,47.16875
75471,11.377,47.169375
75472,11.512,47.17
75473,11.652,47.170625
75474,11.791,47.17125
75475,11.878,47.171875
75476,11.968,47.1725
75477,12.104,47.173125
75478,12.156,47.17375
75479,12.224,47.174375
75480,12.318,47.175
75481,12.423,47.175625
75482,12.488,47.17625
75483,12.522,47.176875
75484,12.522,47.1775
75485,12.582,47.178125
75486,12.619,47.17875
75487,12.621,47.179375
75488,12.597,47.18
75489,12.53,47.180625
75490,12.459,47.18125
75491,12.439,47.181875
75492,12.378,47.1825
75493,12.284,47.183125
75494,12.16,47.18375
75495,12.071,47.184375
75496,12.053,47.185
75497,12.011,47.185625
75498,11.728,47.18625
75499,11.622,47.186875
75500,11.526,47.1875
75501,11.383,47.188125
75502,11.129,47.18875
75503,10.991,47.189375
75504,10.91,47.19
75505,10.706,47.190625
75506,10.499,47.19125
75507,10.319,47.191875
75508,10.186,47.1925
75509,10.031,47.193125
75510,9.858,47.19375
75511,9.675,47.194375
75512,9.518,47.195
75513,9.407,47.195625
75514,9.299,47.19625
75515,9.167,47.196875
75516,9.109,47.1975
75517,8.963,47.198125
75518,8.734,47.19875
75519,8.591,47.199375
75520,8.394,47.2
75521,8.164,47.200625
75522,7.909,47.20125
75523,7.734,47.201875
75524,7.579,47.2025
75525,7.428,47.203125
75526,7.21,47.20375
