,numero,intensitemax
0,coupe_0,-35.845377529917364
1,coupe_1,-33.52857717609275
2,coupe_2,-31.31129873875791
3,coupe_3,-39.762987611149086
4,coupe_4,-36.03119743680078
5,coupe_5,-34.66962964631218
6,coupe_6,-29.022373726548217
7,coupe_7,-29.823669866945476
8,coupe_8,-31.326115428904675
9,coupe_9,-29.58425582564816
10,coupe_10,-29.876949427117378
11,coupe_11,-36.60855739917008
12,coupe_12,-33.5924183317054
13,coupe_13,-35.54785379988991
14,coupe_14,-36.96162681039775
15,coupe_15,-34.457305785248074
