,az,t
81749,3.295,51.093125
81750,3.319,51.09375
81751,3.338,51.094375
81752,3.338,51.095
81753,3.392,51.095625
81754,3.46,51.09625
81755,3.474,51.096875
81756,3.51,51.0975
81757,3.553,51.098125
81758,3.6,51.09875
81759,3.604,51.099375
81760,3.615,51.1
81761,3.622,51.100625
81762,3.571,51.10125
81763,3.607,51.101875
81764,3.663,51.1025
81765,3.694,51.103125
81766,3.657,51.10375
81767,3.6,51.104375
81768,3.534,51.105
81769,3.53,51.105625
81770,3.586,51.10625
81771,3.644,51.106875
81772,3.603,51.1075
81773,3.508,51.108125
81774,3.437,51.10875
81775,3.424,51.109375
81776,3.367,51.11
81777,3.312,51.110625
81778,3.255,51.11125
81779,3.188,51.111875
81780,3.167,51.1125
81781,3.158,51.113125
81782,3.134,51.11375
81783,3.116,51.114375
81784,3.104,51.115
81785,3.099,51.115625
81786,3.105,51.11625
81787,3.088,51.116875
81788,3.079,51.1175
81789,3.14,51.118125
81790,3.151,51.11875
81791,3.151,51.119375
81792,3.151,51.12
81793,3.187,51.120625
81794,3.205,51.12125
81795,3.215,51.121875
81796,3.259,51.1225
81797,3.27,51.123125
81798,3.287,51.12375
81799,3.337,51.124375
81800,3.333,51.125
81801,3.364,51.125625
81802,3.436,51.12625
81803,3.477,51.126875
81804,3.497,51.1275
81805,3.505,51.128125
81806,3.505,51.12875
81807,3.558,51.129375
81808,3.578,51.13
81809,3.534,51.130625
81810,3.55,51.13125
81811,3.548,51.131875
81812,3.531,51.1325
81813,3.51,51.133125
81814,3.5,51.13375
81815,3.482,51.134375
81816,3.438,51.135
81817,3.473,51.135625
81818,3.484,51.13625
81819,3.465,51.136875
81820,3.505,51.1375
81821,3.515,51.138125
81822,3.498,51.13875
81823,3.447,51.139375
81824,3.424,51.14
81825,3.391,51.140625
81826,3.334,51.14125
81827,3.256,51.141875
81828,3.19,51.1425
81829,3.136,51.143125
81830,3.098,51.14375
81831,3.009,51.144375
81832,2.91,51.145
81833,2.833,51.145625
81834,2.84,51.14625
81835,2.836,51.146875
81836,2.806,51.1475
81837,2.739,51.148125
81838,2.662,51.14875
81839,2.61,51.149375
81840,2.654,51.15
81841,2.665,51.150625
81842,2.652,51.15125
81843,2.615,51.151875
81844,2.618,51.1525
81845,2.656,51.153125
81846,2.701,51.15375
81847,2.644,51.154375
81848,2.641,51.155
81849,2.669,51.155625
81850,2.72,51.15625
81851,2.755,51.156875
81852,2.771,51.1575
81853,2.77,51.158125
81854,2.807,51.15875
81855,2.823,51.159375
81856,2.824,51.16
81857,2.821,51.160625
81858,2.801,51.16125
81859,2.8,51.161875
81860,2.834,51.1625
81861,2.841,51.163125
81862,2.856,51.16375
81863,2.872,51.164375
81864,2.865,51.165
81865,2.858,51.165625
81866,2.86,51.16625
81867,2.881,51.166875
81868,2.907,51.1675
81869,2.944,51.168125
81870,2.988,51.16875
81871,2.995,51.169375
81872,3.002,51.17
81873,3.023,51.170625
81874,3.091,51.17125
81875,3.122,51.171875
81876,3.151,51.1725
81877,3.189,51.173125
81878,3.212,51.17375
81879,3.238,51.174375
81880,3.274,51.175
81881,3.362,51.175625
81882,3.378,51.17625
81883,3.393,51.176875
81884,3.46,51.1775
81885,3.427,51.178125
81886,3.396,51.17875
81887,3.385,51.179375
81888,3.449,51.18
81889,3.456,51.180625
81890,3.439,51.18125
81891,3.442,51.181875
81892,3.41,51.1825
81893,3.4,51.183125
81894,3.438,51.18375
81895,3.448,51.184375
81896,3.423,51.185
81897,3.388,51.185625
81898,3.435,51.18625
81899,3.478,51.186875
81900,3.504,51.1875
81901,3.501,51.188125
81902,3.519,51.18875
81903,3.501,51.189375
81904,3.447,51.19
81905,3.437,51.190625
81906,3.435,51.19125
81907,3.437,51.191875
