,numero,intensitemax
0,coupe_0,-33.99687462323593
1,coupe_1,-38.34530909267236
2,coupe_2,-35.03519690313379
3,coupe_3,-31.167196729494822
4,coupe_4,-36.48122977372228
5,coupe_5,-35.890537764487405
6,coupe_6,-28.47352095037104
7,coupe_7,-58.049938777028245
8,coupe_8,-30.263144584635793
9,coupe_9,-40.346424291566365
10,coupe_10,-36.332468072805455
11,coupe_11,-33.31370231438178
12,coupe_12,-33.56735855319554
13,coupe_13,-33.85662680913762
14,coupe_14,-35.56751869469804
15,coupe_15,-35.19419274990743
