,numero,intensitemax
0,coupe_0,-32.66661016789994
1,coupe_1,-35.968394432907644
2,coupe_2,-34.1010559989636
3,coupe_3,-55.17620918359249
4,coupe_4,-47.33725162024661
5,coupe_5,-49.273946975087426
6,coupe_6,-39.40510028730714
7,coupe_7,-39.712379779984836
8,coupe_8,-45.68501866752054
9,coupe_9,-32.36854671278625
10,coupe_10,-44.79082001393059
11,coupe_11,-38.582269506887826
12,coupe_12,-36.38989232906678
13,coupe_13,-44.61879195097225
14,coupe_14,-41.74926556118943
15,coupe_15,-35.44137421566039
