,numero,intensitemax
0,coupe_0,-38.39034542785701
1,coupe_1,-37.74071539073657
2,coupe_2,-37.07615188569454
3,coupe_3,-33.12360190676452
4,coupe_4,-31.04022397393014
5,coupe_5,-37.54315863327602
6,coupe_6,-32.978725296253224
7,coupe_7,-34.18655821208207
8,coupe_8,-39.03033170221841
9,coupe_9,-41.88994611303084
10,coupe_10,-39.226202533869326
11,coupe_11,-32.16049264699688
12,coupe_12,-30.93252608780904
13,coupe_13,-37.660281768186145
14,coupe_14,-35.74812292853602
15,coupe_15,-36.50663667873327
16,coupe_16,-36.69535181970391
17,coupe_17,-41.4038549058731
18,coupe_18,-39.91604343034388
