,numero,intensitemax
0,coupe_0,-32.122781597719026
1,coupe_1,-31.45571362982722
2,coupe_2,-31.40493083591185
3,coupe_3,-34.03759687916955
4,coupe_4,-32.39866608288368
5,coupe_5,-33.15398662268149
6,coupe_6,-32.55088653949299
7,coupe_7,-36.906353030268384
8,coupe_8,-35.697925592992114
9,coupe_9,-36.55691299299405
10,coupe_10,-34.20959503526067
11,coupe_11,-34.472678163466554
12,coupe_12,-33.64597175694647
13,coupe_13,-31.223341560848425
14,coupe_14,-31.023613564324247
15,coupe_15,-36.314516971803116
16,coupe_16,-32.018538140181924
17,coupe_17,-34.50779077396857
18,coupe_18,-36.479072941450575
