,ax,t
76827,5.083,48.016875
76828,5.119,48.0175
76829,5.162,48.018125
76830,5.251,48.01875
76831,5.236,48.019375
76832,5.256,48.02
76833,5.317,48.020625
76834,5.378,48.02125
76835,5.418,48.021875
76836,5.444,48.0225
76837,5.457,48.023125
76838,5.435,48.02375
76839,5.433,48.024375
76840,5.459,48.025
76841,5.455,48.025625
76842,5.467,48.02625
76843,5.474,48.026875
76844,5.44,48.0275
76845,5.421,48.028125
76846,5.43,48.02875
76847,5.471,48.029375
76848,5.403,48.03
76849,5.375,48.030625
76850,5.37,48.03125
76851,5.36,48.031875
76852,5.309,48.0325
76853,5.283,48.033125
76854,5.31,48.03375
76855,5.216,48.034375
76856,5.222,48.035
76857,5.274,48.035625
76858,5.199,48.03625
76859,5.163,48.036875
76860,5.185,48.0375
76861,5.29,48.038125
76862,5.286,48.03875
76863,5.254,48.039375
76864,5.216,48.04
76865,5.264,48.040625
76866,5.257,48.04125
76867,5.235,48.041875
76868,5.225,48.0425
76869,5.209,48.043125
76870,5.144,48.04375
76871,5.035,48.044375
76872,4.96,48.045
76873,4.897,48.045625
76874,4.813,48.04625
76875,4.66,48.046875
76876,4.522,48.0475
76877,4.43,48.048125
76878,4.388,48.04875
76879,4.334,48.049375
76880,4.233,48.05
76881,4.121,48.050625
76882,4.053,48.05125
76883,3.991,48.051875
76884,3.942,48.0525
76885,3.911,48.053125
76886,3.847,48.05375
76887,3.834,48.054375
76888,3.849,48.055
76889,3.846,48.055625
76890,3.799,48.05625
76891,3.756,48.056875
76892,3.735,48.0575
76893,3.689,48.058125
76894,3.658,48.05875
76895,3.638,48.059375
76896,3.601,48.06
76897,3.563,48.060625
76898,3.494,48.06125
76899,3.365,48.061875
76900,3.353,48.0625
76901,3.273,48.063125
76902,3.13,48.06375
76903,3.035,48.064375
76904,2.951,48.065
76905,2.836,48.065625
76906,2.635,48.06625
76907,2.514,48.066875
76908,2.383,48.0675
76909,2.232,48.068125
76910,2.062,48.06875
76911,1.942,48.069375
76912,1.831,48.07
76913,1.674,48.070625
76914,1.6,48.07125
76915,1.493,48.071875
76916,1.334,48.0725
76917,1.29,48.073125
76918,1.218,48.07375
76919,1.139,48.074375
76920,1.095,48.075
76921,1.048,48.075625
76922,1.044,48.07625
76923,1.101,48.076875
76924,1.152,48.0775
76925,1.145,48.078125
76926,1.114,48.07875
76927,1.159,48.079375
76928,1.187,48.08
76929,1.241,48.080625
76930,1.346,48.08125
76931,1.344,48.081875
