,ay,t
49674,-4.142,31.04625
49675,-4.24,31.046875
49676,-4.282,31.0475
49677,-4.259,31.048125
49678,-4.293,31.04875
49679,-4.365,31.049375
49680,-4.446,31.05
49681,-4.494,31.050625
49682,-4.556,31.05125
49683,-4.634,31.051875
49684,-4.727,31.0525
49685,-4.74,31.053125
49686,-4.806,31.05375
49687,-4.887,31.054375
49688,-4.901,31.055
49689,-4.95,31.055625
49690,-4.95,31.05625
49691,-4.861,31.056875
49692,-4.874,31.0575
49693,-4.808,31.058125
49694,-4.695,31.05875
49695,-4.623,31.059375
49696,-4.557,31.06
49697,-4.463,31.060625
49698,-4.317,31.06125
49699,-4.213,31.061875
49700,-4.135,31.0625
49701,-4.058,31.063125
49702,-3.861,31.06375
49703,-3.733,31.064375
49704,-3.63,31.065
49705,-3.524,31.065625
49706,-3.369,31.06625
49707,-3.194,31.066875
49708,-3.013,31.0675
49709,-2.921,31.068125
49710,-2.813,31.06875
49711,-2.691,31.069375
49712,-2.555,31.07
49713,-2.431,31.070625
49714,-2.274,31.07125
49715,-2.08,31.071875
49716,-1.944,31.0725
49717,-1.821,31.073125
49718,-1.697,31.07375
49719,-1.544,31.074375
49720,-1.467,31.075
49721,-1.357,31.075625
49722,-1.18,31.07625
49723,-1.027,31.076875
49724,-0.895,31.0775
49725,-0.789,31.078125
49726,-0.734,31.07875
49727,-0.623,31.079375
49728,-0.507,31.08
49729,-0.405,31.080625
49730,-0.332,31.08125
49731,-0.255,31.081875
49732,-0.168,31.0825
49733,-0.049,31.083125
49734,0.047,31.08375
49735,0.146,31.084375
49736,0.265,31.085
49737,0.375,31.085625
49738,0.478,31.08625
49739,0.574,31.086875
49740,0.645,31.0875
49741,0.768,31.088125
49742,0.88,31.08875
49743,0.924,31.089375
49744,0.905,31.09
49745,0.876,31.090625
49746,0.844,31.09125
49747,0.8,31.091875
49748,0.739,31.0925
49749,0.642,31.093125
49750,0.465,31.09375
49751,0.362,31.094375
49752,0.264,31.095
49753,0.156,31.095625
49754,-0.008,31.09625
49755,-0.117,31.096875
49756,-0.206,31.0975
49757,-0.332,31.098125
49758,-0.424,31.09875
49759,-0.512,31.099375
49760,-0.603,31.1
49761,-0.634,31.100625
49762,-0.653,31.10125
49763,-0.676,31.101875
49764,-0.758,31.1025
49765,-0.762,31.103125
49766,-0.766,31.10375
49767,-0.803,31.104375
49768,-0.788,31.105
49769,-0.799,31.105625
49770,-0.82,31.10625
49771,-0.766,31.106875
49772,-0.767,31.1075
49773,-0.756,31.108125
49774,-0.681,31.10875
49775,-0.703,31.109375
49776,-0.702,31.11
49777,-0.674,31.110625
49778,-0.664,31.11125
49779,-0.594,31.111875
49780,-0.531,31.1125
49781,-0.544,31.113125
49782,-0.534,31.11375
49783,-0.515,31.114375
49784,-0.489,31.115
49785,-0.428,31.115625
49786,-0.36,31.11625
49787,-0.293,31.116875
49788,-0.242,31.1175
49789,-0.108,31.118125
49790,0.03,31.11875
49791,0.153,31.119375
49792,0.296,31.12
49793,0.47,31.120625
49794,0.674,31.12125
49795,0.912,31.121875
49796,1.21,31.1225
49797,1.449,31.123125
49798,1.574,31.12375
49799,1.859,31.124375
49800,2.111,31.125
49801,2.327,31.125625
49802,2.486,31.12625
49803,2.73,31.126875
49804,2.967,31.1275
49805,3.147,31.128125
49806,3.295,31.12875
49807,3.512,31.129375
49808,3.775,31.13
49809,3.962,31.130625
49810,4.199,31.13125
49811,4.467,31.131875
49812,4.763,31.1325
49813,5.021,31.133125
49814,5.325,31.13375
49815,5.67,31.134375
49816,5.973,31.135
49817,6.285,31.135625
49818,6.586,31.13625
49819,6.848,31.136875
49820,7.235,31.1375
49821,7.638,31.138125
49822,8.035,31.13875
49823,8.361,31.139375
49824,8.71,31.14
49825,9.091,31.140625
49826,9.537,31.14125
49827,9.889,31.141875
49828,10.236,31.1425
49829,10.604,31.143125
49830,10.992,31.14375
49831,11.344,31.144375
49832,11.676,31.145
49833,12.016,31.145625
49834,12.367,31.14625
49835,12.724,31.146875
49836,13.084,31.1475
49837,13.388,31.148125
49838,13.671,31.14875
49839,13.945,31.149375
49840,14.24,31.15
49841,14.49,31.150625
49842,14.735,31.15125
49843,15.001,31.151875
49844,15.263,31.1525
49845,15.478,31.153125
49846,15.651,31.15375
49847,15.824,31.154375
49848,15.927,31.155
49849,16.03,31.155625
49850,16.197,31.15625
49851,16.241,31.156875
49852,16.218,31.1575
49853,16.152,31.158125
49854,16.22,31.15875
49855,16.261,31.159375
49856,16.267,31.16
49857,16.216,31.160625
49858,16.179,31.16125
49859,16.105,31.161875
49860,15.984,31.1625
49861,15.882,31.163125
49862,15.717,31.16375
49863,15.529,31.164375
49864,15.387,31.165
49865,15.258,31.165625
49866,15.098,31.16625
49867,14.89,31.166875
49868,14.666,31.1675
49869,14.429,31.168125
49870,14.198,31.16875
49871,14.024,31.169375
49872,13.79,31.17
49873,13.527,31.170625
49874,13.244,31.17125
49875,12.965,31.171875
49876,12.635,31.1725
49877,12.279,31.173125
49878,12.003,31.17375
49879,11.697,31.174375
49880,11.365,31.175
49881,11.001,31.175625
49882,10.669,31.17625
49883,10.346,31.176875
49884,10.025,31.1775
49885,9.668,31.178125
49886,9.308,31.17875
49887,8.986,31.179375
49888,8.755,31.18
49889,8.412,31.180625
49890,8.082,31.18125
49891,7.791,31.181875
49892,7.593,31.1825
49893,7.333,31.183125
49894,7.053,31.18375
49895,6.812,31.184375
49896,6.657,31.185
49897,6.481,31.185625
49898,6.263,31.18625
49899,6.12,31.186875
