,az,t
129742,4.021,81.08875
129743,4.019,81.089375
129744,3.98,81.09
129745,3.987,81.090625
129746,3.986,81.09125
129747,3.969,81.091875
129748,3.915,81.0925
129749,3.896,81.093125
129750,3.882,81.09375
129751,3.864,81.094375
129752,3.762,81.095
129753,3.712,81.095625
129754,3.667,81.09625
129755,3.541,81.096875
129756,3.455,81.0975
129757,3.392,81.098125
129758,3.351,81.09875
129759,3.311,81.099375
129760,3.272,81.1
129761,3.242,81.100625
129762,3.242,81.10125
129763,3.148,81.101875
129764,3.065,81.1025
129765,3.041,81.103125
129766,2.942,81.10375
129767,2.884,81.104375
129768,2.86,81.105
129769,2.84,81.105625
129770,2.758,81.10625
129771,2.677,81.106875
129772,2.636,81.1075
129773,2.656,81.108125
129774,2.656,81.10875
129775,2.636,81.109375
129776,2.616,81.11
129777,2.6,81.110625
129778,2.575,81.11125
129779,2.524,81.111875
129780,2.573,81.1125
129781,2.592,81.113125
129782,2.572,81.11375
129783,2.64,81.114375
129784,2.621,81.115
129785,2.579,81.115625
129786,2.589,81.11625
129787,2.591,81.116875
129788,2.58,81.1175
129789,2.557,81.118125
129790,2.568,81.11875
129791,2.556,81.119375
129792,2.529,81.12
129793,2.488,81.120625
129794,2.45,81.12125
129795,2.433,81.121875
129796,2.447,81.1225
129797,2.399,81.123125
129798,2.37,81.12375
129799,2.35,81.124375
129800,2.316,81.125
129801,2.274,81.125625
129802,2.231,81.12625
129803,2.19,81.126875
129804,2.156,81.1275
129805,2.112,81.128125
129806,2.063,81.12875
129807,2.026,81.129375
129808,1.973,81.13
129809,1.919,81.130625
129810,1.871,81.13125
129811,1.839,81.131875
129812,1.79,81.1325
129813,1.724,81.133125
129814,1.684,81.13375
129815,1.624,81.134375
129816,1.557,81.135
129817,1.492,81.135625
129818,1.451,81.13625
129819,1.414,81.136875
129820,1.377,81.1375
129821,1.346,81.138125
129822,1.309,81.13875
129823,1.273,81.139375
129824,1.249,81.14
129825,1.228,81.140625
129826,1.224,81.14125
129827,1.24,81.141875
129828,1.23,81.1425
129829,1.228,81.143125
129830,1.231,81.14375
129831,1.231,81.144375
129832,1.222,81.145
129833,1.22,81.145625
129834,1.23,81.14625
129835,1.237,81.146875
129836,1.254,81.1475
129837,1.286,81.148125
129838,1.361,81.14875
129839,1.374,81.149375
129840,1.35,81.15
129841,1.296,81.150625
129842,1.238,81.15125
129843,1.222,81.151875
129844,1.24,81.1525
129845,1.24,81.153125
129846,1.265,81.15375
129847,1.274,81.154375
129848,1.23,81.155
129849,1.281,81.155625
129850,1.276,81.15625
129851,1.216,81.156875
129852,1.263,81.1575
129853,1.262,81.158125
129854,1.238,81.15875
129855,1.215,81.159375
129856,1.203,81.16
129857,1.205,81.160625
129858,1.218,81.16125
129859,1.167,81.161875
129860,1.138,81.1625
129861,1.133,81.163125
129862,1.167,81.16375
129863,1.173,81.164375
129864,1.166,81.165
129865,1.15,81.165625
129866,1.184,81.16625
129867,1.212,81.166875
129868,1.227,81.1675
129869,1.206,81.168125
129870,1.213,81.16875
129871,1.23,81.169375
129872,1.254,81.17
129873,1.377,81.170625
129874,1.445,81.17125
129875,1.48,81.171875
129876,1.576,81.1725
129877,1.643,81.173125
129878,1.691,81.17375
129879,1.722,81.174375
129880,1.819,81.175
129881,1.905,81.175625
129882,1.97,81.17625
129883,1.983,81.176875
129884,1.997,81.1775
129885,2.027,81.178125
129886,2.095,81.17875
129887,2.166,81.179375
129888,2.247,81.18
129889,2.335,81.180625
129890,2.369,81.18125
129891,2.396,81.181875
129892,2.432,81.1825
129893,2.504,81.183125
129894,2.531,81.18375
129895,2.552,81.184375
129896,2.573,81.185
129897,2.61,81.185625
129898,2.652,81.18625
129899,2.692,81.186875
129900,2.72,81.1875
129901,2.747,81.188125
129902,2.764,81.18875
129903,2.768,81.189375
129904,2.764,81.19
129905,2.763,81.190625
129906,2.758,81.19125
129907,2.735,81.191875
129908,2.716,81.1925
129909,2.702,81.193125
129910,2.691,81.19375
129911,2.645,81.194375
129912,2.62,81.195
129913,2.616,81.195625
129914,2.63,81.19625
129915,2.626,81.196875
129916,2.626,81.1975
129917,2.646,81.198125
129918,2.67,81.19875
129919,2.739,81.199375
129920,2.837,81.2
129921,2.817,81.200625
129922,2.873,81.20125
129923,2.932,81.201875
129924,2.922,81.2025
129925,3.041,81.203125
129926,3.13,81.20375
129927,3.163,81.204375
129928,3.125,81.205
129929,3.146,81.205625
129930,3.188,81.20625
129931,3.201,81.206875
129932,3.218,81.2075
129933,3.239,81.208125
129934,3.267,81.20875
129935,3.297,81.209375
129936,3.275,81.21
129937,3.226,81.210625
129938,3.195,81.21125
129939,3.222,81.211875
129940,3.244,81.2125
129941,3.237,81.213125
129942,3.287,81.21375
129943,3.283,81.214375
129944,3.25,81.215
129945,3.27,81.215625
129946,3.294,81.21625
129947,3.331,81.216875
129948,3.392,81.2175
129949,3.369,81.218125
129950,3.327,81.21875
129951,3.288,81.219375
129952,3.35,81.22
129953,3.374,81.220625
129954,3.361,81.22125
129955,3.3,81.221875
129956,3.273,81.2225
129957,3.266,81.223125
129958,3.272,81.22375
129959,3.238,81.224375
129960,3.227,81.225
129961,3.217,81.225625
129962,3.18,81.22625
129963,3.095,81.226875
129964,3.053,81.2275
