,ax,t
100907,-5.898,63.066875
100908,-5.88,63.0675
100909,-5.829,63.068125
100910,-5.741,63.06875
100911,-5.734,63.069375
100912,-5.692,63.07
100913,-5.629,63.070625
100914,-5.571,63.07125
100915,-5.506,63.071875
100916,-5.442,63.0725
100917,-5.385,63.073125
100918,-5.334,63.07375
100919,-5.307,63.074375
100920,-5.293,63.075
100921,-5.229,63.075625
100922,-5.155,63.07625
100923,-5.084,63.076875
100924,-5.03,63.0775
100925,-4.982,63.078125
100926,-4.9,63.07875
100927,-4.781,63.079375
100928,-4.706,63.08
100929,-4.659,63.080625
100930,-4.623,63.08125
100931,-4.562,63.081875
100932,-4.49,63.0825
100933,-4.436,63.083125
100934,-4.416,63.08375
100935,-4.366,63.084375
100936,-4.314,63.085
100937,-4.259,63.085625
100938,-4.198,63.08625
100939,-4.149,63.086875
100940,-4.096,63.0875
100941,-4.018,63.088125
100942,-4.002,63.08875
100943,-3.981,63.089375
100944,-3.944,63.09
100945,-3.914,63.090625
100946,-3.9,63.09125
100947,-3.887,63.091875
100948,-3.833,63.0925
100949,-3.789,63.093125
100950,-3.744,63.09375
100951,-3.689,63.094375
100952,-3.719,63.095
100953,-3.68,63.095625
100954,-3.591,63.09625
100955,-3.588,63.096875
100956,-3.615,63.0975
100957,-3.636,63.098125
100958,-3.609,63.09875
100959,-3.582,63.099375
100960,-3.564,63.1
100961,-3.557,63.100625
100962,-3.54,63.10125
100963,-3.536,63.101875
100964,-3.543,63.1025
100965,-3.567,63.103125
100966,-3.572,63.10375
100967,-3.556,63.104375
100968,-3.512,63.105
100969,-3.536,63.105625
100970,-3.545,63.10625
100971,-3.54,63.106875
100972,-3.55,63.1075
100973,-3.577,63.108125
100974,-3.606,63.10875
100975,-3.623,63.109375
100976,-3.619,63.11
100977,-3.624,63.110625
100978,-3.643,63.11125
100979,-3.609,63.111875
100980,-3.598,63.1125
100981,-3.607,63.113125
100982,-3.638,63.11375
100983,-3.697,63.114375
100984,-3.727,63.115
100985,-3.693,63.115625
100986,-3.724,63.11625
100987,-3.712,63.116875
100988,-3.67,63.1175
100989,-3.687,63.118125
100990,-3.713,63.11875
100991,-3.738,63.119375
100992,-3.748,63.12
100993,-3.758,63.120625
100994,-3.739,63.12125
100995,-3.688,63.121875
100996,-3.726,63.1225
100997,-3.687,63.123125
100998,-3.63,63.12375
100999,-3.677,63.124375
101000,-3.652,63.125
101001,-3.626,63.125625
101002,-3.629,63.12625
101003,-3.597,63.126875
101004,-3.564,63.1275
101005,-3.538,63.128125
101006,-3.572,63.12875
101007,-3.548,63.129375
101008,-3.513,63.13
101009,-3.506,63.130625
101010,-3.446,63.13125
101011,-3.405,63.131875
101012,-3.392,63.1325
101013,-3.304,63.133125
101014,-3.291,63.13375
101015,-3.308,63.134375
101016,-3.257,63.135
101017,-3.255,63.135625
101018,-3.233,63.13625
101019,-3.159,63.136875
101020,-3.139,63.1375
101021,-3.11,63.138125
101022,-3.073,63.13875
101023,-3.063,63.139375
101024,-3.043,63.14
101025,-3.022,63.140625
101026,-3.009,63.14125
101027,-2.96,63.141875
101028,-2.932,63.1425
101029,-2.934,63.143125
101030,-2.9,63.14375
101031,-2.852,63.144375
101032,-2.792,63.145
101033,-2.725,63.145625
101034,-2.734,63.14625
101035,-2.748,63.146875
101036,-2.735,63.1475
101037,-2.702,63.148125
101038,-2.632,63.14875
101039,-2.542,63.149375
101040,-2.539,63.15
101041,-2.54,63.150625
101042,-2.514,63.15125
101043,-2.416,63.151875
101044,-2.418,63.1525
101045,-2.42,63.153125
101046,-2.402,63.15375
101047,-2.355,63.154375
101048,-2.312,63.155
101049,-2.284,63.155625
101050,-2.308,63.15625
101051,-2.337,63.156875
101052,-2.328,63.1575
101053,-2.254,63.158125
101054,-2.189,63.15875
101055,-2.17,63.159375
101056,-2.183,63.16
101057,-2.143,63.160625
101058,-2.117,63.16125
101059,-2.111,63.161875
101060,-2.141,63.1625
101061,-2.11,63.163125
101062,-2.094,63.16375
101063,-2.106,63.164375
101064,-2.089,63.165
101065,-2.106,63.165625
101066,-2.147,63.16625
101067,-2.201,63.166875
101068,-2.178,63.1675
101069,-2.177,63.168125
101070,-2.252,63.16875
101071,-2.213,63.169375
101072,-2.215,63.17
101073,-2.245,63.170625
101074,-2.198,63.17125
101075,-2.222,63.171875
101076,-2.249,63.1725
101077,-2.212,63.173125
101078,-2.246,63.17375
101079,-2.29,63.174375
101080,-2.335,63.175
101081,-2.413,63.175625
101082,-2.432,63.17625
101083,-2.435,63.176875
101084,-2.52,63.1775
101085,-2.546,63.178125
101086,-2.565,63.17875
101087,-2.599,63.179375
101088,-2.636,63.18
101089,-2.664,63.180625
101090,-2.686,63.18125
101091,-2.727,63.181875
101092,-2.791,63.1825
101093,-2.835,63.183125
101094,-2.801,63.18375
101095,-2.796,63.184375
101096,-2.845,63.185
101097,-2.949,63.185625
101098,-2.939,63.18625
101099,-2.958,63.186875
101100,-3.002,63.1875
101101,-3.073,63.188125
101102,-3.136,63.18875
101103,-3.173,63.189375
101104,-3.17,63.19
101105,-3.241,63.190625
101106,-3.264,63.19125
101107,-3.251,63.191875
101108,-3.292,63.1925
101109,-3.349,63.193125
101110,-3.394,63.19375
101111,-3.391,63.194375
101112,-3.472,63.195
101113,-3.541,63.195625
101114,-3.578,63.19625
101115,-3.601,63.196875
101116,-3.615,63.1975
101117,-3.623,63.198125
101118,-3.636,63.19875
101119,-3.663,63.199375
101120,-3.712,63.2
101121,-3.793,63.200625
101122,-3.849,63.20125
101123,-3.901,63.201875
101124,-3.941,63.2025
101125,-3.9,63.203125
101126,-3.971,63.20375
101127,-4.036,63.204375
101128,-3.965,63.205
101129,-3.993,63.205625
101130,-4.037,63.20625
101131,-4.077,63.206875
101132,-4.013,63.2075
101133,-4.008,63.208125
101134,-4.047,63.20875
101135,-4.121,63.209375
101136,-4.153,63.21
101137,-4.146,63.210625
101138,-4.092,63.21125
101139,-4.096,63.211875
101140,-4.119,63.2125
101141,-4.148,63.213125
101142,-4.121,63.21375
101143,-4.123,63.214375
101144,-4.137,63.215
101145,-4.154,63.215625
101146,-4.098,63.21625
101147,-4.056,63.216875
101148,-4.046,63.2175
101149,-4.05,63.218125
101150,-4.072,63.21875
101151,-4.089,63.219375
101152,-4.038,63.22
101153,-4.035,63.220625
101154,-4.036,63.22125
101155,-4.023,63.221875
101156,-3.974,63.2225
101157,-3.913,63.223125
101158,-3.856,63.22375
101159,-3.91,63.224375
101160,-3.941,63.225
101161,-3.951,63.225625
101162,-3.938,63.22625
101163,-3.892,63.226875
101164,-3.87,63.2275
101165,-3.883,63.228125
101166,-3.873,63.22875
101167,-3.865,63.229375
101168,-3.851,63.23
101169,-3.807,63.230625
101170,-3.803,63.23125
101171,-3.83,63.231875
101172,-3.895,63.2325
101173,-3.895,63.233125
101174,-3.88,63.23375
101175,-3.86,63.234375
101176,-3.867,63.235
101177,-3.912,63.235625
101178,-3.961,63.23625
101179,-3.981,63.236875
101180,-4.013,63.2375
101181,-4.036,63.238125
101182,-4.047,63.23875
101183,-4.067,63.239375
101184,-4.092,63.24
101185,-4.121,63.240625
101186,-4.158,63.24125
101187,-4.211,63.241875
101188,-4.25,63.2425
101189,-4.257,63.243125
101190,-4.286,63.24375
101191,-4.304,63.244375
101192,-4.321,63.245
101193,-4.415,63.245625
101194,-4.484,63.24625
101195,-4.533,63.246875
101196,-4.56,63.2475
101197,-4.604,63.248125
101198,-4.659,63.24875
101199,-4.721,63.249375
101200,-4.725,63.25
101201,-4.795,63.250625
101202,-4.886,63.25125
101203,-4.892,63.251875
101204,-4.867,63.2525
101205,-4.883,63.253125
101206,-4.984,63.25375
101207,-5.002,63.254375
101208,-5.054,63.255
101209,-5.131,63.255625
101210,-5.155,63.25625
101211,-5.19,63.256875
101212,-5.23,63.2575
101213,-5.267,63.258125
101214,-5.281,63.25875
101215,-5.306,63.259375
101216,-5.35,63.26
101217,-5.394,63.260625
101218,-5.45,63.26125
101219,-5.505,63.261875
101220,-5.522,63.2625
101221,-5.565,63.263125
101222,-5.616,63.26375
101223,-5.667,63.264375
101224,-5.734,63.265
101225,-5.776,63.265625
101226,-5.805,63.26625
101227,-5.896,63.266875
101228,-5.895,63.2675
101229,-5.881,63.268125
101230,-5.935,63.26875
101231,-5.978,63.269375
101232,-6.01,63.27
101233,-6.034,63.270625
101234,-6.04,63.27125
101235,-6.112,63.271875
101236,-6.202,63.2725
101237,-6.209,63.273125
101238,-6.216,63.27375
101239,-6.226,63.274375
101240,-6.243,63.275
101241,-6.283,63.275625
101242,-6.298,63.27625
101243,-6.292,63.276875
101244,-6.296,63.2775
101245,-6.271,63.278125
101246,-6.266,63.27875
101247,-6.344,63.279375
101248,-6.398,63.28
101249,-6.455,63.280625
101250,-6.516,63.28125
101251,-6.496,63.281875
101252,-6.476,63.2825
101253,-6.46,63.283125
101254,-6.464,63.28375
101255,-6.448,63.284375
101256,-6.45,63.285
101257,-6.491,63.285625
101258,-6.487,63.28625
101259,-6.475,63.286875
101260,-6.463,63.2875
101261,-6.497,63.288125
101262,-6.496,63.28875
101263,-6.488,63.289375
101264,-6.505,63.29
101265,-6.522,63.290625
101266,-6.509,63.29125
101267,-6.46,63.291875
101268,-6.48,63.2925
101269,-6.497,63.293125
101270,-6.501,63.29375
101271,-6.467,63.294375
101272,-6.494,63.295
101273,-6.509,63.295625
101274,-6.476,63.29625
101275,-6.439,63.296875
101276,-6.434,63.2975
101277,-6.452,63.298125
101278,-6.425,63.29875
101279,-6.393,63.299375
101280,-6.356,63.3
101281,-6.312,63.300625
101282,-6.283,63.30125
101283,-6.267,63.301875
101284,-6.263,63.3025
101285,-6.263,63.303125
101286,-6.282,63.30375
101287,-6.304,63.304375
101288,-6.29,63.305
101289,-6.298,63.305625
101290,-6.306,63.30625
101291,-6.306,63.306875
101292,-6.213,63.3075
101293,-6.202,63.308125
101294,-6.259,63.30875
101295,-6.262,63.309375
101296,-6.214,63.31
101297,-6.156,63.310625
101298,-6.132,63.31125
101299,-6.117,63.311875
101300,-6.11,63.3125
101301,-6.11,63.313125
101302,-6.1,63.31375
101303,-6.067,63.314375
101304,-6.027,63.315
101305,-6.016,63.315625
101306,-6.027,63.31625
101307,-6.023,63.316875
101308,-5.983,63.3175
101309,-5.994,63.318125
101310,-5.959,63.31875
101311,-5.895,63.319375
101312,-5.939,63.32
101313,-5.917,63.320625
101314,-5.891,63.32125
101315,-5.928,63.321875
101316,-5.918,63.3225
101317,-5.892,63.323125
101318,-5.857,63.32375
101319,-5.877,63.324375
101320,-5.879,63.325
101321,-5.871,63.325625
101322,-5.875,63.32625
101323,-5.82,63.326875
101324,-5.796,63.3275
101325,-5.853,63.328125
101326,-5.879,63.32875
101327,-5.893,63.329375
101328,-5.896,63.33
101329,-5.869,63.330625
101330,-5.823,63.33125
101331,-5.778,63.331875
101332,-5.754,63.3325
101333,-5.783,63.333125
101334,-5.781,63.33375
101335,-5.733,63.334375
101336,-5.773,63.335
101337,-5.793,63.335625
101338,-5.789,63.33625
101339,-5.742,63.336875
101340,-5.721,63.3375
101341,-5.708,63.338125
101342,-5.694,63.33875
101343,-5.716,63.339375
101344,-5.718,63.34
101345,-5.704,63.340625
101346,-5.714,63.34125
101347,-5.689,63.341875
101348,-5.676,63.3425
101349,-5.733,63.343125
101350,-5.741,63.34375
101351,-5.747,63.344375
101352,-5.759,63.345
101353,-5.726,63.345625
101354,-5.719,63.34625
101355,-5.721,63.346875
101356,-5.691,63.3475
101357,-5.7,63.348125
101358,-5.726,63.34875
101359,-5.763,63.349375
101360,-5.736,63.35
101361,-5.74,63.350625
101362,-5.77,63.35125
101363,-5.77,63.351875
101364,-5.775,63.3525
101365,-5.774,63.353125
101366,-5.754,63.35375
101367,-5.774,63.354375
101368,-5.795,63.355
101369,-5.808,63.355625
101370,-5.794,63.35625
101371,-5.808,63.356875
101372,-5.836,63.3575
101373,-5.852,63.358125
101374,-5.877,63.35875
101375,-5.881,63.359375
101376,-5.844,63.36
101377,-5.906,63.360625
101378,-5.895,63.36125
101379,-5.84,63.361875
101380,-5.992,63.3625
101381,-5.977,63.363125
101382,-5.931,63.36375
101383,-5.991,63.364375
101384,-6.035,63.365
101385,-6.075,63.365625
101386,-6.116,63.36625
101387,-6.16,63.366875
101388,-6.167,63.3675
101389,-6.15,63.368125
101390,-6.133,63.36875
101391,-6.14,63.369375
101392,-6.163,63.37
101393,-6.204,63.370625
101394,-6.187,63.37125
101395,-6.231,63.371875
101396,-6.317,63.3725
101397,-6.279,63.373125
101398,-6.289,63.37375
101399,-6.323,63.374375
101400,-6.367,63.375
101401,-6.35,63.375625
101402,-6.37,63.37625
101403,-6.446,63.376875
101404,-6.48,63.3775
101405,-6.493,63.378125
101406,-6.498,63.37875
101407,-6.521,63.379375
101408,-6.435,63.38
101409,-6.35,63.380625
101410,-6.327,63.38125
101411,-6.159,63.381875
101412,-5.912,63.3825
101413,-5.633,63.383125
101414,-5.602,63.38375
101415,-5.56,63.384375
101416,-5.479,63.385
101417,-5.31,63.385625
101418,-5.217,63.38625
101419,-5.253,63.386875
101420,-5.432,63.3875
101421,-5.503,63.388125
101422,-5.547,63.38875
101423,-5.591,63.389375
101424,-5.702,63.39
101425,-5.648,63.390625
101426,-5.53,63.39125
101427,-5.381,63.391875
