,ay,t
75363,8.314,47.101875
75364,8.319,47.1025
75365,8.282,47.103125
75366,8.328,47.10375
75367,8.365,47.104375
75368,8.352,47.105
75369,8.374,47.105625
75370,8.379,47.10625
75371,8.374,47.106875
75372,8.408,47.1075
75373,8.471,47.108125
75374,8.507,47.10875
75375,8.453,47.109375
75376,8.45,47.11
75377,8.481,47.110625
75378,8.542,47.11125
75379,8.539,47.111875
75380,8.584,47.1125
75381,8.644,47.113125
75382,8.651,47.11375
75383,8.682,47.114375
75384,8.741,47.115
75385,8.836,47.115625
75386,8.784,47.11625
75387,8.767,47.116875
75388,8.788,47.1175
75389,8.839,47.118125
75390,8.868,47.11875
75391,8.896,47.119375
75392,8.944,47.12
75393,8.988,47.120625
75394,9.046,47.12125
75395,9.117,47.121875
75396,9.124,47.1225
75397,9.118,47.123125
75398,9.118,47.12375
75399,9.169,47.124375
75400,9.193,47.125
75401,9.206,47.125625
75402,9.213,47.12625
75403,9.281,47.126875
75404,9.321,47.1275
75405,9.333,47.128125
75406,9.34,47.12875
75407,9.352,47.129375
75408,9.373,47.13
75409,9.414,47.130625
75410,9.422,47.13125
75411,9.43,47.131875
75412,9.441,47.1325
75413,9.407,47.133125
75414,9.399,47.13375
75415,9.392,47.134375
75416,9.331,47.135
75417,9.364,47.135625
75418,9.387,47.13625
75419,9.353,47.136875
75420,9.404,47.1375
75421,9.412,47.138125
75422,9.391,47.13875
75423,9.439,47.139375
75424,9.419,47.14
75425,9.4,47.140625
75426,9.451,47.14125
75427,9.413,47.141875
75428,9.424,47.1425
75429,9.503,47.143125
75430,9.466,47.14375
75431,9.454,47.144375
75432,9.452,47.145
75433,9.428,47.145625
75434,9.421,47.14625
75435,9.433,47.146875
75436,9.47,47.1475
75437,9.452,47.148125
75438,9.468,47.14875
75439,9.513,47.149375
75440,9.536,47.15
75441,9.579,47.150625
75442,9.608,47.15125
75443,9.585,47.151875
75444,9.611,47.1525
75445,9.628,47.153125
75446,9.628,47.15375
75447,9.695,47.154375
75448,9.701,47.155
75449,9.675,47.155625
75450,9.665,47.15625
75451,9.668,47.156875
75452,9.662,47.1575
75453,9.635,47.158125
75454,9.612,47.15875
75455,9.599,47.159375
75456,9.606,47.16
75457,9.683,47.160625
75458,9.673,47.16125
75459,9.649,47.161875
75460,9.683,47.1625
75461,9.657,47.163125
75462,9.636,47.16375
75463,9.629,47.164375
75464,9.629,47.165
75465,9.6,47.165625
75466,9.579,47.16625
75467,9.656,47.166875
75468,9.648,47.1675
75469,9.635,47.168125
75470,9.648,47.16875
75471,9.658,47.169375
75472,9.659,47.17
75473,9.653,47.170625
75474,9.65,47.17125
75475,9.656,47.171875
75476,9.668,47.1725
75477,9.685,47.173125
75478,9.711,47.17375
75479,9.738,47.174375
75480,9.76,47.175
75481,9.686,47.175625
75482,9.669,47.17625
75483,9.686,47.176875
75484,9.707,47.1775
75485,9.722,47.178125
75486,9.726,47.17875
75487,9.716,47.179375
75488,9.732,47.18
75489,9.723,47.180625
75490,9.704,47.18125
75491,9.765,47.181875
75492,9.809,47.1825
75493,9.833,47.183125
75494,9.827,47.18375
75495,9.808,47.184375
75496,9.833,47.185
75497,9.906,47.185625
75498,9.879,47.18625
75499,9.894,47.186875
75500,9.919,47.1875
75501,9.886,47.188125
75502,9.897,47.18875
75503,9.932,47.189375
75504,9.986,47.19
75505,9.963,47.190625
75506,9.956,47.19125
75507,9.967,47.191875
75508,9.984,47.1925
75509,9.96,47.193125
75510,9.928,47.19375
75511,9.918,47.194375
75512,9.908,47.195
75513,9.901,47.195625
75514,9.896,47.19625
75515,9.866,47.196875
75516,9.892,47.1975
75517,9.933,47.198125
75518,9.896,47.19875
75519,9.821,47.199375
75520,9.752,47.2
75521,9.708,47.200625
75522,9.722,47.20125
75523,9.728,47.201875
75524,9.726,47.2025
75525,9.733,47.203125
75526,9.732,47.20375
75527,9.711,47.204375
75528,9.647,47.205
75529,9.598,47.205625
75530,9.578,47.20625
75531,9.59,47.206875
75532,9.57,47.2075
75533,9.596,47.208125
75534,9.629,47.20875
75535,9.578,47.209375
75536,9.573,47.21
75537,9.557,47.210625
75538,9.503,47.21125
75539,9.542,47.211875
75540,9.57,47.2125
75541,9.586,47.213125
75542,9.62,47.21375
75543,9.646,47.214375
75544,9.646,47.215
75545,9.589,47.215625
75546,9.593,47.21625
75547,9.591,47.216875
75548,9.571,47.2175
75549,9.554,47.218125
75550,9.565,47.21875
75551,9.591,47.219375
75552,9.615,47.22
75553,9.612,47.220625
75554,9.604,47.22125
75555,9.601,47.221875
75556,9.585,47.2225
75557,9.608,47.223125
75558,9.65,47.22375
75559,9.586,47.224375
75560,9.562,47.225
75561,9.55,47.225625
75562,9.523,47.22625
75563,9.546,47.226875
75564,9.525,47.2275
75565,9.449,47.228125
75566,9.479,47.22875
75567,9.476,47.229375
75568,9.457,47.23
75569,9.457,47.230625
75570,9.417,47.23125
75571,9.379,47.231875
75572,9.362,47.2325
75573,9.381,47.233125
75574,9.383,47.23375
75575,9.36,47.234375
75576,9.272,47.235
75577,9.246,47.235625
75578,9.229,47.23625
75579,9.168,47.236875
75580,9.184,47.2375
75581,9.166,47.238125
75582,9.099,47.23875
75583,9.116,47.239375
75584,9.132,47.24
75585,9.14,47.240625
75586,9.109,47.24125
75587,9.111,47.241875
75588,9.11,47.2425
75589,9.089,47.243125
75590,9.092,47.24375
75591,9.082,47.244375
75592,9.065,47.245
75593,9.072,47.245625
75594,9.06,47.24625
75595,9.041,47.246875
75596,9.028,47.2475
75597,9.041,47.248125
75598,9.049,47.24875
75599,9.047,47.249375
75600,9.098,47.25
75601,9.09,47.250625
75602,9.053,47.25125
75603,9.043,47.251875
75604,9.083,47.2525
75605,9.107,47.253125
75606,9.08,47.25375
75607,9.101,47.254375
75608,9.08,47.255
75609,9.024,47.255625
75610,9.007,47.25625
75611,8.957,47.256875
75612,8.918,47.2575
75613,8.942,47.258125
75614,8.88,47.25875
75615,8.85,47.259375
75616,8.871,47.26
75617,8.82,47.260625
75618,8.824,47.26125
75619,8.841,47.261875
75620,8.78,47.2625
75621,8.722,47.263125
75622,8.699,47.26375
75623,8.733,47.264375
75624,8.689,47.265
75625,8.656,47.265625
75626,8.635,47.26625
75627,8.608,47.266875
75628,8.636,47.2675
75629,8.644,47.268125
75630,8.546,47.26875
75631,8.498,47.269375
75632,8.463,47.27
75633,8.437,47.270625
75634,8.434,47.27125
75635,8.397,47.271875
75636,8.362,47.2725
75637,8.416,47.273125
75638,8.374,47.27375
75639,8.324,47.274375
75640,8.304,47.275
75641,8.274,47.275625
75642,8.255,47.27625
75643,8.252,47.276875
75644,8.302,47.2775
75645,8.289,47.278125
75646,8.252,47.27875
75647,8.225,47.279375
75648,8.201,47.28
75649,8.177,47.280625
75650,8.155,47.28125
75651,8.165,47.281875
75652,8.14,47.2825
75653,8.105,47.283125
75654,8.122,47.28375
75655,8.091,47.284375
75656,8.074,47.285
75657,8.101,47.285625
75658,8.089,47.28625
75659,8.041,47.286875
75660,7.971,47.2875
75661,7.961,47.288125
75662,7.98,47.28875
75663,7.991,47.289375
75664,7.954,47.29
75665,7.984,47.290625
75666,7.983,47.29125
75667,7.934,47.291875
75668,7.924,47.2925
75669,7.935,47.293125
75670,7.951,47.29375
75671,7.937,47.294375
75672,7.9,47.295
75673,7.881,47.295625
75674,7.905,47.29625
75675,7.928,47.296875
75676,7.921,47.2975
75677,7.895,47.298125
75678,7.929,47.29875
75679,7.944,47.299375
75680,7.954,47.3
75681,7.97,47.300625
75682,7.973,47.30125
75683,7.983,47.301875
75684,8.006,47.3025
75685,7.999,47.303125
75686,8.013,47.30375
75687,8.038,47.304375
75688,8.055,47.305
75689,8.016,47.305625
75690,7.987,47.30625
75691,8.001,47.306875
75692,8.03,47.3075
75693,8.057,47.308125
75694,8.071,47.30875
75695,8.01,47.309375
75696,7.961,47.31
75697,7.932,47.310625
75698,7.938,47.31125
75699,7.933,47.311875
75700,7.942,47.3125
75701,7.966,47.313125
75702,7.915,47.31375
75703,7.884,47.314375
75704,7.869,47.315
75705,7.88,47.315625
75706,7.842,47.31625
75707,7.817,47.316875
75708,7.838,47.3175
75709,7.823,47.318125
75710,7.788,47.31875
75711,7.744,47.319375
75712,7.758,47.32
75713,7.748,47.320625
75714,7.728,47.32125
75715,7.712,47.321875
75716,7.745,47.3225
75717,7.776,47.323125
75718,7.794,47.32375
75719,7.743,47.324375
75720,7.736,47.325
75721,7.743,47.325625
75722,7.696,47.32625
75723,7.731,47.326875
75724,7.732,47.3275
75725,7.637,47.328125
75726,7.716,47.32875
75727,7.726,47.329375
75728,7.688,47.33
75729,7.793,47.330625
75730,7.796,47.33125
75731,7.76,47.331875
75732,7.736,47.3325
75733,7.701,47.333125
75734,7.691,47.33375
75735,7.716,47.334375
75736,7.76,47.335
75737,7.758,47.335625
75738,7.732,47.33625
75739,7.725,47.336875
75740,7.732,47.3375
75741,7.726,47.338125
75742,7.692,47.33875
75743,7.726,47.339375
75744,7.746,47.34
75745,7.75,47.340625
75746,7.73,47.34125
75747,7.707,47.341875
75748,7.676,47.3425
75749,7.625,47.343125
75750,7.648,47.34375
75751,7.659,47.344375
75752,7.642,47.345
75753,7.628,47.345625
75754,7.596,47.34625
75755,7.566,47.346875
75756,7.593,47.3475
75757,7.62,47.348125
75758,7.628,47.34875
75759,7.601,47.349375
75760,7.512,47.35
75761,7.474,47.350625
75762,7.477,47.35125
75763,7.453,47.351875
75764,7.474,47.3525
75765,7.491,47.353125
75766,7.447,47.35375
75767,7.412,47.354375
75768,7.402,47.355
75769,7.42,47.355625
