,az,t
75363,0.267,47.101875
75364,0.248,47.1025
75365,0.221,47.103125
75366,0.207,47.10375
75367,0.187,47.104375
75368,0.15,47.105
75369,0.054,47.105625
75370,0.01,47.10625
75371,0.01,47.106875
75372,0.017,47.1075
75373,0.036,47.108125
75374,0.054,47.10875
75375,0.057,47.109375
75376,0.046,47.11
75377,0.023,47.110625
75378,-0.009,47.11125
75379,-0.003,47.111875
75380,0.0,47.1125
75381,-0.01,47.113125
75382,-0.057,47.11375
75383,-0.11,47.114375
75384,-0.151,47.115
75385,-0.172,47.115625
75386,-0.163,47.11625
75387,-0.158,47.116875
75388,-0.164,47.1175
75389,-0.211,47.118125
75390,-0.206,47.11875
75391,-0.203,47.119375
75392,-0.257,47.12
75393,-0.278,47.120625
75394,-0.306,47.12125
75395,-0.347,47.121875
75396,-0.408,47.1225
75397,-0.484,47.123125
75398,-0.559,47.12375
75399,-0.6,47.124375
75400,-0.664,47.125
75401,-0.735,47.125625
75402,-0.806,47.12625
75403,-0.845,47.126875
75404,-0.866,47.1275
75405,-0.877,47.128125
75406,-0.917,47.12875
75407,-0.946,47.129375
75408,-1.002,47.13
75409,-1.137,47.130625
75410,-1.181,47.13125
75411,-1.178,47.131875
75412,-1.141,47.1325
75413,-1.168,47.133125
75414,-1.195,47.13375
75415,-1.204,47.134375
75416,-1.147,47.135
75417,-1.095,47.135625
75418,-1.064,47.13625
75419,-1.068,47.136875
75420,-1.103,47.1375
75421,-1.124,47.138125
75422,-1.132,47.13875
75423,-1.149,47.139375
75424,-1.168,47.14
75425,-1.188,47.140625
75426,-1.205,47.14125
75427,-1.26,47.141875
75428,-1.29,47.1425
75429,-1.284,47.143125
75430,-1.301,47.14375
75431,-1.322,47.144375
75432,-1.336,47.145
75433,-1.312,47.145625
75434,-1.334,47.14625
75435,-1.364,47.146875
75436,-1.388,47.1475
75437,-1.428,47.148125
75438,-1.477,47.14875
75439,-1.532,47.149375
75440,-1.569,47.15
75441,-1.611,47.150625
75442,-1.642,47.15125
75443,-1.642,47.151875
75444,-1.634,47.1525
75445,-1.62,47.153125
75446,-1.608,47.15375
75447,-1.699,47.154375
75448,-1.742,47.155
75449,-1.754,47.155625
75450,-1.761,47.15625
75451,-1.66,47.156875
75452,-1.584,47.1575
75453,-1.594,47.158125
75454,-1.585,47.15875
75455,-1.595,47.159375
75456,-1.616,47.16
75457,-1.592,47.160625
75458,-1.58,47.16125
75459,-1.58,47.161875
75460,-1.597,47.1625
75461,-1.564,47.163125
75462,-1.547,47.16375
75463,-1.558,47.164375
75464,-1.595,47.165
75465,-1.609,47.165625
75466,-1.606,47.16625
75467,-1.593,47.166875
75468,-1.574,47.1675
75469,-1.545,47.168125
75470,-1.501,47.16875
75471,-1.508,47.169375
75472,-1.493,47.17
75473,-1.46,47.170625
75474,-1.453,47.17125
75475,-1.468,47.171875
75476,-1.495,47.1725
